#,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-02-24T22:19:28', checksum=1509732466, investigation_time=1.0, mag_bin_edges=[4.0, 5.0, 6.0, 7.0, 8.0, 9.0], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0, 290.0, 300.0, 310.0, 320.0, 330.0, 340.0, 350.0, 360.0, 370.0, 380.0, 390.0, 400.0], lon_bin_edges=[-13.750092036789976, -9.1393, -4.528507963210025], lat_bin_edges=[35.12502, 38.7223, 42.319579999999995], eps_bin_edges=[-5.0, -1.6666666666666665, 1.666666666666667, 5.0], tectonic_region_types=['Shallow Inland', 'Shallow offshore'], lon=-9.1393, lat=38.7223"
imt,iml,poe,mag,dist,mean
PGA,3.02782E-01,4.04000E-04,4.50000E+00,5.00000E+00,3.07863E-05
PGA,3.02782E-01,4.04000E-04,4.50000E+00,1.50000E+01,7.23456E-06
PGA,3.02782E-01,4.04000E-04,4.50000E+00,2.50000E+01,1.62106E-07
PGA,3.02782E-01,4.04000E-04,4.50000E+00,3.50000E+01,4.48679E-09
PGA,3.02782E-01,4.04000E-04,4.50000E+00,4.50000E+01,8.36831E-12
PGA,3.02782E-01,4.04000E-04,4.50000E+00,5.50000E+01,7.13840E-12
PGA,3.02782E-01,4.04000E-04,4.50000E+00,6.50000E+01,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,7.50000E+01,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,8.50000E+01,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,9.50000E+01,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,1.05000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,1.15000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,1.25000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,1.35000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,1.45000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,1.55000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,1.65000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,1.75000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,1.85000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,1.95000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,2.05000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,2.15000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,2.25000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,2.35000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,2.45000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,2.55000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,2.65000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,2.75000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,2.85000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,2.95000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,3.05000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,3.15000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,3.25000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,3.35000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,3.45000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,3.55000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,3.65000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,3.75000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,3.85000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,4.50000E+00,3.95000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,5.50000E+00,5.00000E+00,3.57322E-05
PGA,3.02782E-01,4.04000E-04,5.50000E+00,1.50000E+01,7.10485E-05
PGA,3.02782E-01,4.04000E-04,5.50000E+00,2.50000E+01,1.02914E-05
PGA,3.02782E-01,4.04000E-04,5.50000E+00,3.50000E+01,1.85792E-06
PGA,3.02782E-01,4.04000E-04,5.50000E+00,4.50000E+01,4.43774E-07
PGA,3.02782E-01,4.04000E-04,5.50000E+00,5.50000E+01,1.52237E-07
PGA,3.02782E-01,4.04000E-04,5.50000E+00,6.50000E+01,1.60565E-07
PGA,3.02782E-01,4.04000E-04,5.50000E+00,7.50000E+01,7.56132E-08
PGA,3.02782E-01,4.04000E-04,5.50000E+00,8.50000E+01,4.09858E-08
PGA,3.02782E-01,4.04000E-04,5.50000E+00,9.50000E+01,1.89465E-08
PGA,3.02782E-01,4.04000E-04,5.50000E+00,1.05000E+02,8.32968E-09
PGA,3.02782E-01,4.04000E-04,5.50000E+00,1.15000E+02,1.02646E-08
PGA,3.02782E-01,4.04000E-04,5.50000E+00,1.25000E+02,7.50325E-09
PGA,3.02782E-01,4.04000E-04,5.50000E+00,1.35000E+02,1.24897E-09
PGA,3.02782E-01,4.04000E-04,5.50000E+00,1.45000E+02,1.39314E-09
PGA,3.02782E-01,4.04000E-04,5.50000E+00,1.55000E+02,2.15204E-09
PGA,3.02782E-01,4.04000E-04,5.50000E+00,1.65000E+02,5.83023E-10
PGA,3.02782E-01,4.04000E-04,5.50000E+00,1.75000E+02,6.83592E-10
PGA,3.02782E-01,4.04000E-04,5.50000E+00,1.85000E+02,2.31881E-10
PGA,3.02782E-01,4.04000E-04,5.50000E+00,1.95000E+02,1.82764E-10
PGA,3.02782E-01,4.04000E-04,5.50000E+00,2.05000E+02,1.72019E-10
PGA,3.02782E-01,4.04000E-04,5.50000E+00,2.15000E+02,1.27357E-10
PGA,3.02782E-01,4.04000E-04,5.50000E+00,2.25000E+02,2.00738E-11
PGA,3.02782E-01,4.04000E-04,5.50000E+00,2.35000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,5.50000E+00,2.45000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,5.50000E+00,2.55000E+02,0.00000E+00
PGA,3.02782E-01,4.04000E-04,5.50000E+00,2.65000E+02,0.00000E+00
