#,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-02-24T22:19:28', checksum=1509732466, investigation_time=1.0, mag_bin_edges=[4.0, 5.0, 6.0, 7.0, 8.0, 9.0], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0, 290.0, 300.0, 310.0, 320.0, 330.0, 340.0, 350.0, 360.0, 370.0, 380.0, 390.0, 400.0], lon_bin_edges=[-13.420927460406109, -8.9117, -4.402472539593891], lat_bin_edges=[33.48602, 37.0833, 40.68058], eps_bin_edges=[-5.0, -1.6666666666666665, 1.666666666666667, 5.0], tectonic_region_types=['Shallow Inland', 'Shallow offshore'], lon=-8.9117, lat=37.0833"
imt,iml,poe,mag,dist,mean
PGA,3.38652E-01,4.04000E-04,6.50000E+00,5.00000E+00,4.80221E-05
PGA,3.38652E-01,4.04000E-04,6.50000E+00,1.50000E+01,2.82154E-05
PGA,3.38652E-01,4.04000E-04,6.50000E+00,2.50000E+01,5.29994E-06
PGA,3.38652E-01,4.04000E-04,6.50000E+00,3.50000E+01,1.78984E-06
PGA,3.38652E-01,4.04000E-04,6.50000E+00,4.50000E+01,7.91479E-07
PGA,3.38652E-01,4.04000E-04,6.50000E+00,5.50000E+01,6.04691E-07
PGA,3.38652E-01,4.04000E-04,6.50000E+00,6.50000E+01,5.86372E-07
PGA,3.38652E-01,4.04000E-04,6.50000E+00,7.50000E+01,1.26006E-06
PGA,3.38652E-01,4.04000E-04,6.50000E+00,8.50000E+01,4.36439E-07
PGA,3.38652E-01,4.04000E-04,6.50000E+00,9.50000E+01,2.42930E-07
PGA,3.38652E-01,4.04000E-04,6.50000E+00,1.05000E+02,1.46903E-07
PGA,3.38652E-01,4.04000E-04,6.50000E+00,1.15000E+02,1.89000E-07
PGA,3.38652E-01,4.04000E-04,6.50000E+00,1.25000E+02,2.14258E-07
PGA,3.38652E-01,4.04000E-04,6.50000E+00,1.35000E+02,2.44022E-07
PGA,3.38652E-01,4.04000E-04,6.50000E+00,1.45000E+02,6.23534E-08
PGA,3.38652E-01,4.04000E-04,6.50000E+00,1.55000E+02,1.39552E-07
PGA,3.38652E-01,4.04000E-04,6.50000E+00,1.65000E+02,7.75437E-08
PGA,3.38652E-01,4.04000E-04,6.50000E+00,1.75000E+02,6.27990E-08
PGA,3.38652E-01,4.04000E-04,6.50000E+00,1.85000E+02,6.76878E-08
PGA,3.38652E-01,4.04000E-04,6.50000E+00,1.95000E+02,9.34043E-08
PGA,3.38652E-01,4.04000E-04,6.50000E+00,2.05000E+02,3.30873E-08
PGA,3.38652E-01,4.04000E-04,6.50000E+00,2.15000E+02,1.55621E-08
PGA,3.38652E-01,4.04000E-04,6.50000E+00,2.25000E+02,5.82684E-08
PGA,3.38652E-01,4.04000E-04,6.50000E+00,2.35000E+02,2.90448E-08
PGA,3.38652E-01,4.04000E-04,6.50000E+00,2.45000E+02,1.77151E-08
PGA,3.38652E-01,4.04000E-04,6.50000E+00,2.55000E+02,1.40077E-08
PGA,3.38652E-01,4.04000E-04,6.50000E+00,2.65000E+02,2.13306E-08
PGA,3.38652E-01,4.04000E-04,6.50000E+00,2.75000E+02,5.58292E-09
PGA,3.38652E-01,4.04000E-04,6.50000E+00,2.85000E+02,4.84518E-09
PGA,3.38652E-01,4.04000E-04,6.50000E+00,2.95000E+02,5.02908E-09
PGA,3.38652E-01,4.04000E-04,6.50000E+00,3.05000E+02,5.60446E-09
PGA,3.38652E-01,4.04000E-04,6.50000E+00,3.15000E+02,1.19225E-09
PGA,3.38652E-01,4.04000E-04,6.50000E+00,3.25000E+02,4.94946E-09
PGA,3.38652E-01,4.04000E-04,6.50000E+00,3.35000E+02,2.09521E-09
PGA,3.38652E-01,4.04000E-04,6.50000E+00,3.45000E+02,7.92071E-10
PGA,3.38652E-01,4.04000E-04,6.50000E+00,3.55000E+02,1.25146E-09
PGA,3.38652E-01,4.04000E-04,6.50000E+00,3.65000E+02,1.45502E-09
PGA,3.38652E-01,4.04000E-04,6.50000E+00,3.75000E+02,1.67892E-09
PGA,3.38652E-01,4.04000E-04,6.50000E+00,3.85000E+02,1.26913E-09
PGA,3.38652E-01,4.04000E-04,6.50000E+00,3.95000E+02,4.87150E-10
PGA,3.38652E-01,4.04000E-04,7.50000E+00,5.00000E+00,1.83586E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,1.50000E+01,8.15966E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,2.50000E+01,5.60481E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,3.50000E+01,3.43928E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,4.50000E+01,2.24899E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,5.50000E+01,2.28105E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,6.50000E+01,3.59146E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,7.50000E+01,2.67430E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,8.50000E+01,2.23997E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,9.50000E+01,1.61290E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,1.05000E+02,1.08041E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,1.15000E+02,3.39542E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,1.25000E+02,1.96632E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,1.35000E+02,3.71471E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,1.45000E+02,3.00507E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,1.55000E+02,5.98493E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,1.65000E+02,5.92555E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,1.75000E+02,4.47607E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,1.85000E+02,2.57402E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,1.95000E+02,4.50449E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,2.05000E+02,2.91605E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,2.15000E+02,1.47687E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,2.25000E+02,3.23285E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,2.35000E+02,6.35970E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,2.45000E+02,7.45461E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,2.55000E+02,7.22705E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,2.65000E+02,2.06645E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,2.75000E+02,2.88522E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,2.85000E+02,7.84578E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,2.95000E+02,5.61353E-08
PGA,3.38652E-01,4.04000E-04,7.50000E+00,3.05000E+02,1.24561E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,3.15000E+02,7.75339E-09
PGA,3.38652E-01,4.04000E-04,7.50000E+00,3.25000E+02,1.01052E-06
PGA,3.38652E-01,4.04000E-04,7.50000E+00,3.35000E+02,3.77083E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,3.45000E+02,1.78718E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,3.55000E+02,3.59513E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,3.65000E+02,2.70018E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,3.75000E+02,3.39264E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,3.85000E+02,2.83930E-07
PGA,3.38652E-01,4.04000E-04,7.50000E+00,3.95000E+02,1.02496E-07
PGA,3.38652E-01,4.04000E-04,8.50000E+00,5.00000E+00,0.00000E+00
PGA,3.38652E-01,4.04000E-04,8.50000E+00,1.50000E+01,0.00000E+00
PGA,3.38652E-01,4.04000E-04,8.50000E+00,2.50000E+01,3.36930E-08
PGA,3.38652E-01,4.04000E-04,8.50000E+00,3.50000E+01,3.93044E-08
PGA,3.38652E-01,4.04000E-04,8.50000E+00,4.50000E+01,6.53030E-08
PGA,3.38652E-01,4.04000E-04,8.50000E+00,5.50000E+01,7.59741E-08
PGA,3.38652E-01,4.04000E-04,8.50000E+00,6.50000E+01,1.23609E-07
PGA,3.38652E-01,4.04000E-04,8.50000E+00,7.50000E+01,3.57761E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,8.50000E+01,4.26825E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,9.50000E+01,3.34270E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,1.05000E+02,2.77867E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,1.15000E+02,1.02035E-05
PGA,3.38652E-01,4.04000E-04,8.50000E+00,1.25000E+02,3.55046E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,1.35000E+02,9.99727E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,1.45000E+02,1.73678E-07
PGA,3.38652E-01,4.04000E-04,8.50000E+00,1.55000E+02,2.00628E-05
PGA,3.38652E-01,4.04000E-04,8.50000E+00,1.65000E+02,9.96601E-07
PGA,3.38652E-01,4.04000E-04,8.50000E+00,1.75000E+02,1.13062E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,1.85000E+02,1.03067E-05
PGA,3.38652E-01,4.04000E-04,8.50000E+00,1.95000E+02,1.76307E-05
PGA,3.38652E-01,4.04000E-04,8.50000E+00,2.05000E+02,1.52826E-07
PGA,3.38652E-01,4.04000E-04,8.50000E+00,2.15000E+02,8.77160E-08
PGA,3.38652E-01,4.04000E-04,8.50000E+00,2.25000E+02,1.54363E-05
PGA,3.38652E-01,4.04000E-04,8.50000E+00,2.35000E+02,3.54863E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,2.45000E+02,2.95686E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,2.55000E+02,4.71765E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,2.65000E+02,1.06869E-05
PGA,3.38652E-01,4.04000E-04,8.50000E+00,2.75000E+02,9.58367E-07
PGA,3.38652E-01,4.04000E-04,8.50000E+00,2.85000E+02,4.86664E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,2.95000E+02,9.65364E-08
PGA,3.38652E-01,4.04000E-04,8.50000E+00,3.05000E+02,7.31187E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,3.15000E+02,1.73229E-09
PGA,3.38652E-01,4.04000E-04,8.50000E+00,3.25000E+02,4.21342E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,3.35000E+02,1.16050E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,3.45000E+02,1.48304E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,3.55000E+02,1.45679E-06
PGA,3.38652E-01,4.04000E-04,8.50000E+00,3.65000E+02,2.83620E-07
PGA,3.38652E-01,4.04000E-04,8.50000E+00,3.75000E+02,3.91021E-07
PGA,3.38652E-01,4.04000E-04,8.50000E+00,3.85000E+02,4.00868E-07
PGA,3.38652E-01,4.04000E-04,8.50000E+00,3.95000E+02,1.50200E-07
PGA,1.81712E-01,2.10500E-03,4.50000E+00,5.00000E+00,8.62400E-05
PGA,1.81712E-01,2.10500E-03,4.50000E+00,1.50000E+01,3.24549E-05
PGA,1.81712E-01,2.10500E-03,4.50000E+00,2.50000E+01,2.07114E-06
PGA,1.81712E-01,2.10500E-03,4.50000E+00,3.50000E+01,1.73276E-07
PGA,1.81712E-01,2.10500E-03,4.50000E+00,4.50000E+01,2.53501E-08
PGA,1.81712E-01,2.10500E-03,4.50000E+00,5.50000E+01,2.98227E-09
PGA,1.81712E-01,2.10500E-03,4.50000E+00,6.50000E+01,3.62151E-10
PGA,1.81712E-01,2.10500E-03,4.50000E+00,7.50000E+01,1.59037E-09
PGA,1.81712E-01,2.10500E-03,4.50000E+00,8.50000E+01,4.09873E-10
PGA,1.81712E-01,2.10500E-03,4.50000E+00,9.50000E+01,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,1.05000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,1.15000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,1.25000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,1.35000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,1.45000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,1.55000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,1.65000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,1.75000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,1.85000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,1.95000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,2.05000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,2.15000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,2.25000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,2.35000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,2.45000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,2.55000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,2.65000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,2.75000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,2.85000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,2.95000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,3.05000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,3.15000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,3.25000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,3.35000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,3.45000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,3.55000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,3.65000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,3.75000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,3.85000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,4.50000E+00,3.95000E+02,0.00000E+00
PGA,1.81712E-01,2.10500E-03,5.50000E+00,5.00000E+00,1.44886E-04
PGA,1.81712E-01,2.10500E-03,5.50000E+00,1.50000E+01,1.99718E-04
PGA,1.81712E-01,2.10500E-03,5.50000E+00,2.50000E+01,6.50116E-05
PGA,1.81712E-01,2.10500E-03,5.50000E+00,3.50000E+01,1.83696E-05
PGA,1.81712E-01,2.10500E-03,5.50000E+00,4.50000E+01,7.82514E-06
PGA,1.81712E-01,2.10500E-03,5.50000E+00,5.50000E+01,3.31039E-06
PGA,1.81712E-01,2.10500E-03,5.50000E+00,6.50000E+01,1.66208E-06
PGA,1.81712E-01,2.10500E-03,5.50000E+00,7.50000E+01,2.86020E-06
PGA,1.81712E-01,2.10500E-03,5.50000E+00,8.50000E+01,2.05222E-06
PGA,1.81712E-01,2.10500E-03,5.50000E+00,9.50000E+01,1.10353E-06
PGA,1.81712E-01,2.10500E-03,5.50000E+00,1.05000E+02,4.21912E-07
PGA,1.81712E-01,2.10500E-03,5.50000E+00,1.15000E+02,7.57421E-07
PGA,1.81712E-01,2.10500E-03,5.50000E+00,1.25000E+02,9.48786E-07
