#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:02:31', checksum=3323070476, kind='quantile-0.05', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404,SA(2.0)-0.002105,SA(2.0)-0.000404,SA(3.0)-0.002105,SA(3.0)-0.000404,SA(4.0)-0.002105,SA(4.0)-0.000404
-9.61787,39.00000,8.485912E-02,1.816419E-01,1.319822E-01,2.973836E-01,1.915185E-01,4.266745E-01,1.959331E-01,4.276173E-01,1.741239E-01,3.757906E-01,1.481158E-01,3.182782E-01,1.255177E-01,2.694475E-01,1.104889E-01,2.373811E-01,9.777536E-02,2.098173E-01,8.039319E-02,1.723389E-01,6.801011E-02,1.449219E-01,5.522086E-02,1.169523E-01,4.061617E-02,8.477201E-02,1.922526E-02,3.886117E-02,1.293758E-02,2.704287E-02,1.034772E-02,2.252339E-02
-9.61787,39.10000,7.966362E-02,1.632908E-01,1.249236E-01,2.658736E-01,1.794470E-01,3.824575E-01,1.830916E-01,3.854057E-01,1.637939E-01,3.424667E-01,1.390599E-01,2.894804E-01,1.182642E-01,2.468023E-01,1.038141E-01,2.165616E-01,9.189072E-02,1.920211E-01,7.571258E-02,1.586693E-01,6.428935E-02,1.343639E-01,5.222651E-02,1.092305E-01,3.859779E-02,8.007178E-02,1.881837E-02,3.813944E-02,1.265826E-02,2.651683E-02,1.011163E-02,2.203996E-02
-9.61787,39.20000,6.950823E-02,1.424269E-01,1.085485E-01,2.305046E-01,1.581246E-01,3.369699E-01,1.630424E-01,3.431436E-01,1.459986E-01,3.034105E-01,1.247897E-01,2.589533E-01,1.071406E-01,2.217972E-01,9.399354E-02,1.948082E-01,8.356193E-02,1.731373E-01,6.959385E-02,1.443428E-01,5.922475E-02,1.222145E-01,4.863010E-02,1.002646E-01,3.612677E-02,7.379002E-02,1.814201E-02,3.662604E-02,1.234391E-02,2.577434E-02,9.875382E-03,2.151877E-02
-9.61787,39.30000,6.536303E-02,1.377841E-01,1.010440E-01,2.209586E-01,1.479745E-01,3.242693E-01,1.535305E-01,3.306461E-01,1.374136E-01,2.918356E-01,1.179086E-01,2.491888E-01,1.010546E-01,2.128258E-01,8.895490E-02,1.871544E-01,7.915978E-02,1.662511E-01,6.616448E-02,1.386818E-01,5.626785E-02,1.171951E-01,4.640031E-02,9.621541E-02,3.450647E-02,7.075922E-02,1.753889E-02,3.547199E-02,1.207194E-02,2.521569E-02,9.648631E-03,2.100267E-02
-9.61787,39.40000,6.204068E-02,1.355596E-01,9.509886E-02,2.158686E-01,1.395763E-01,3.175371E-01,1.448729E-01,3.234431E-01,1.298439E-01,2.844710E-01,1.117464E-01,2.424240E-01,9.564226E-02,2.063661E-01,8.442423E-02,1.814405E-01,7.518204E-02,1.610189E-01,6.284921E-02,1.339697E-01,5.356276E-02,1.131849E-01,4.429447E-02,9.274369E-02,3.301125E-02,6.822949E-02,1.699465E-02,3.450001E-02,1.179527E-02,2.465968E-02,9.426625E-03,2.049947E-02
-9.61787,39.50000,5.920503E-02,1.371482E-01,9.006894E-02,2.173196E-01,1.325213E-01,3.198709E-01,1.375621E-01,3.243833E-01,1.233226E-01,2.835378E-01,1.061822E-01,2.404938E-01,9.093232E-02,2.039185E-01,8.043447E-02,1.788699E-01,7.167021E-02,1.583843E-01,5.984594E-02,1.311137E-01,5.114332E-02,1.105225E-01,4.226612E-02,9.011765E-02,3.164751E-02,6.622203E-02,1.649589E-02,3.367303E-02,1.147364E-02,2.406661E-02,9.194396E-03,1.999023E-02
-9.51787,38.50000,8.713512E-02,1.836564E-01,1.362425E-01,3.025892E-01,1.967698E-01,4.319862E-01,2.010974E-01,4.321170E-01,1.789171E-01,3.800844E-01,1.529866E-01,3.221828E-01,1.303341E-01,2.726171E-01,1.153374E-01,2.402135E-01,1.027849E-01,2.127982E-01,8.574692E-02,1.761562E-01,7.307634E-02,1.489503E-01,6.003901E-02,1.215236E-01,4.435300E-02,8.887171E-02,2.116582E-02,4.206925E-02,1.434753E-02,2.986375E-02,1.155759E-02,2.496581E-02
-9.51787,38.60000,8.632127E-02,1.816790E-01,1.352063E-01,2.998613E-01,1.947640E-01,4.263285E-01,1.991379E-01,4.262016E-01,1.775819E-01,3.758620E-01,1.518610E-01,3.188132E-01,1.292614E-01,2.702173E-01,1.142542E-01,2.381892E-01,1.016576E-01,2.109250E-01,8.454007E-02,1.742559E-01,7.194699E-02,1.472691E-01,5.899020E-02,1.199434E-01,4.355693E-02,8.764383E-02,2.074471E-02,4.130581E-02,1.404428E-02,2.922408E-02,1.128999E-02,2.439659E-02
-9.51787,38.70000,8.535663E-02,1.794212E-01,1.337185E-01,2.959661E-01,1.923137E-01,4.203072E-01,1.967491E-01,4.204695E-01,1.758237E-01,3.717649E-01,1.503538E-01,3.156723E-01,1.279170E-01,2.679719E-01,1.129733E-01,2.364459E-01,1.003885E-01,2.093435E-01,8.325639E-02,1.726827E-01,7.077993E-02,1.458835E-01,5.792268E-02,1.185941E-01,4.275776E-02,8.660435E-02,2.033733E-02,4.061037E-02,1.375322E-02,2.864081E-02,1.103586E-02,2.387919E-02
-9.51787,38.80000,8.494871E-02,1.788626E-01,1.330638E-01,2.948129E-01,1.912770E-01,4.186043E-01,1.957844E-01,4.190630E-01,1.751032E-01,3.709109E-01,1.496557E-01,3.152685E-01,1.272044E-01,2.678617E-01,1.122175E-01,2.364269E-01,9.957387E-02,2.092709E-01,8.233662E-02,1.723845E-01,6.988758E-02,1.454536E-01,5.706108E-02,1.180184E-01,4.207640E-02,8.601702E-02,1.997392E-02,4.002625E-02,1.347853E-02,2.810495E-02,1.079770E-02,2.340628E-02
-9.51787,38.90000,8.500053E-02,1.792277E-01,1.330747E-01,2.951665E-01,1.913854E-01,4.196382E-01,1.959046E-01,4.203917E-01,1.751204E-01,3.721070E-01,1.495174E-01,3.165046E-01,1.268802E-01,2.689456E-01,1.117619E-01,2.373864E-01,9.901105E-02,2.100565E-01,8.161461E-02,1.728042E-01,6.913746E-02,1.455960E-01,5.629820E-02,1.178643E-01,4.145472E-02,8.571493E-02,1.963448E-02,3.950139E-02,1.321705E-02,2.760400E-02,1.057046E-02,2.295577E-02
-9.51787,39.00000,8.473085E-02,1.794497E-01,1.325201E-01,2.951889E-01,1.906676E-01,4.202688E-01,1.950601E-01,4.210014E-01,1.742427E-01,3.722666E-01,1.485735E-01,3.164379E-01,1.259591E-01,2.687408E-01,1.108382E-01,2.371223E-01,9.805766E-02,2.097027E-01,8.059366E-02,1.722437E-01,6.816325E-02,1.449419E-01,5.535977E-02,1.170519E-01,4.071048E-02,8.494407E-02,1.925347E-02,3.883939E-02,1.293718E-02,2.703121E-02,1.033212E-02,2.246973E-02
