#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:42:16', checksum=350676187, kind='quantile-0.95', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0)
-9.71787,38.60000,1.667749E-01,1.719894E-01,1.690466E-01,3.991755E-01,4.254355E-01,3.911262E-01,3.340550E-01,2.867685E-01,2.530179E-01,1.885387E-01,1.613255E-01,1.332736E-01,1.022163E-01,3.271525E-01,3.375407E-01,3.309107E-01,1.012296E+00,1.094789E+00,9.318606E-01,7.145823E-01,5.759364E-01,4.945066E-01,3.509403E-01,3.015522E-01,2.479743E-01,1.933947E-01
-9.71787,38.70000,1.605506E-01,1.661465E-01,1.634323E-01,3.647643E-01,3.866175E-01,3.601617E-01,3.128822E-01,2.741126E-01,2.458467E-01,1.871447E-01,1.613637E-01,1.338596E-01,1.027137E-01,3.035881E-01,3.136671E-01,3.081048E-01,7.801247E-01,8.388687E-01,7.519562E-01,6.171753E-01,5.312883E-01,4.741961E-01,3.462559E-01,3.014065E-01,2.497472E-01,1.952872E-01
-9.71787,38.80000,1.584803E-01,1.642748E-01,1.615958E-01,3.560255E-01,3.766564E-01,3.524010E-01,3.074209E-01,2.702023E-01,2.425528E-01,1.850906E-01,1.597406E-01,1.324045E-01,1.015434E-01,3.008558E-01,3.108820E-01,3.053470E-01,7.713407E-01,8.280470E-01,7.427683E-01,6.098456E-01,5.254645E-01,4.685647E-01,3.438552E-01,2.996243E-01,2.482083E-01,1.939841E-01
-9.71787,38.90000,1.554197E-01,1.613415E-01,1.587114E-01,3.562467E-01,3.777412E-01,3.518277E-01,3.045768E-01,2.661609E-01,2.377247E-01,1.804506E-01,1.555926E-01,1.285146E-01,9.856805E-02,2.967670E-01,3.064204E-01,3.009385E-01,7.898607E-01,8.501723E-01,7.556565E-01,6.117990E-01,5.213456E-01,4.604695E-01,3.373925E-01,2.932391E-01,2.417095E-01,1.885823E-01
-9.71787,39.00000,1.530425E-01,1.588686E-01,1.559796E-01,3.702233E-01,3.947487E-01,3.630139E-01,3.083268E-01,2.645256E-01,2.329237E-01,1.740470E-01,1.494887E-01,1.227291E-01,9.418801E-02,2.979673E-01,3.071069E-01,3.013685E-01,9.048540E-01,9.805983E-01,8.385568E-01,6.473548E-01,5.294688E-01,4.566308E-01,3.280675E-01,2.813849E-01,2.306875E-01,1.795347E-01
-9.61787,38.50000,1.688868E-01,1.745927E-01,1.716642E-01,3.708449E-01,3.907283E-01,3.664684E-01,3.231343E-01,2.851991E-01,2.576718E-01,1.970467E-01,1.700706E-01,1.414597E-01,1.090151E-01,3.199395E-01,3.311705E-01,3.251309E-01,7.976645E-01,8.542045E-01,7.668714E-01,6.363666E-01,5.523904E-01,4.971657E-01,3.629382E-01,3.166221E-01,2.646402E-01,2.072424E-01
-9.61787,38.60000,1.654577E-01,1.712488E-01,1.684757E-01,3.359886E-01,3.512977E-01,3.355819E-01,3.041164E-01,2.761955E-01,2.539209E-01,1.978811E-01,1.719051E-01,1.434638E-01,1.108693E-01,3.085005E-01,3.198221E-01,3.142618E-01,6.410731E-01,6.814748E-01,6.425452E-01,5.779340E-01,5.278342E-01,4.878027E-01,3.614786E-01,3.186056E-01,2.684091E-01,2.108319E-01
-9.61787,38.70000,1.622730E-01,1.683634E-01,1.656809E-01,3.154376E-01,3.294656E-01,3.173748E-01,2.933647E-01,2.698781E-01,2.497471E-01,1.962478E-01,1.710342E-01,1.430310E-01,1.105344E-01,3.019216E-01,3.131364E-01,3.077648E-01,5.853041E-01,6.160026E-01,5.952903E-01,5.554221E-01,5.128012E-01,4.794379E-01,3.576526E-01,3.167478E-01,2.675684E-01,2.105137E-01
-9.61787,38.80000,1.596239E-01,1.659423E-01,1.633103E-01,3.080663E-01,3.211209E-01,3.101110E-01,2.877376E-01,2.653500E-01,2.457319E-01,1.934112E-01,1.687804E-01,1.412972E-01,1.090115E-01,2.975319E-01,3.085859E-01,3.033071E-01,5.725364E-01,6.009576E-01,5.822814E-01,5.448300E-01,5.039250E-01,4.714432E-01,3.535247E-01,3.134335E-01,2.645532E-01,2.081030E-01
-9.61787,38.90000,1.554633E-01,1.620226E-01,1.594801E-01,3.036382E-01,3.170365E-01,3.052889E-01,2.820868E-01,2.595094E-01,2.396660E-01,1.881384E-01,1.642420E-01,1.376311E-01,1.058143E-01,2.903938E-01,3.010128E-01,2.959082E-01,5.679488E-01,5.977176E-01,5.768012E-01,5.348148E-01,4.929596E-01,4.590843E-01,3.454669E-01,3.061586E-01,2.574400E-01,2.023527E-01
