#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:42:16', checksum=350676187, kind='mean', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.61787,39.20000,1.102202E-01,2.272928E-01,1.139221E-01,2.348813E-01,1.121041E-01,2.311742E-01,2.486844E-01,5.722808E-01,2.638647E-01,6.162950E-01,2.479589E-01,5.550857E-01,2.175924E-01,4.627862E-01,1.904920E-01,3.975192E-01,1.700838E-01,3.542544E-01,1.280286E-01,2.488275E-01,1.102681E-01,2.161996E-01,9.153274E-02,1.803863E-01,7.025502E-02,1.421696E-01
-9.61787,39.30000,1.070761E-01,2.211451E-01,1.108647E-01,2.286507E-01,1.091154E-01,2.245922E-01,2.478586E-01,5.767522E-01,2.640644E-01,6.234649E-01,2.469384E-01,5.579425E-01,2.145137E-01,4.590335E-01,1.864502E-01,3.902561E-01,1.653706E-01,3.447837E-01,1.232996E-01,2.411941E-01,1.060169E-01,2.088533E-01,8.748082E-02,1.728231E-01,6.716467E-02,1.359512E-01
-9.61787,39.40000,1.046606E-01,2.180648E-01,1.085132E-01,2.251229E-01,1.066666E-01,2.210587E-01,2.486456E-01,6.056238E-01,2.658130E-01,6.573340E-01,2.473501E-01,5.788792E-01,2.127758E-01,4.653288E-01,1.833165E-01,3.878024E-01,1.612282E-01,3.379211E-01,1.187514E-01,2.345378E-01,1.018521E-01,2.018822E-01,8.348963E-02,1.655474E-01,6.412326E-02,1.298530E-01
-9.61787,39.50000,1.034638E-01,2.239730E-01,1.071773E-01,2.308743E-01,1.052300E-01,2.264249E-01,2.542274E-01,6.917401E-01,2.728094E-01,7.520670E-01,2.518287E-01,6.478796E-01,2.139333E-01,5.010573E-01,1.822689E-01,4.010477E-01,1.585710E-01,3.394129E-01,1.146716E-01,2.301617E-01,9.775265E-02,1.947787E-01,7.944305E-02,1.584461E-01,6.100397E-02,1.237187E-01
-9.51787,38.50000,1.271497E-01,2.565218E-01,1.322033E-01,2.653856E-01,1.299811E-01,2.611680E-01,2.501872E-01,5.010419E-01,2.601693E-01,5.249459E-01,2.509296E-01,5.079107E-01,2.327874E-01,4.689829E-01,2.128360E-01,4.316730E-01,1.968398E-01,4.029748E-01,1.525042E-01,2.974462E-01,1.339960E-01,2.616356E-01,1.110624E-01,2.208557E-01,8.606261E-02,1.748014E-01
-9.51787,38.60000,1.269725E-01,2.572771E-01,1.321363E-01,2.663357E-01,1.299224E-01,2.621028E-01,2.412235E-01,4.781004E-01,2.492265E-01,4.992937E-01,2.428193E-01,4.880753E-01,2.284445E-01,4.601148E-01,2.111927E-01,4.295131E-01,1.967352E-01,4.043953E-01,1.534903E-01,2.984179E-01,1.354535E-01,2.639028E-01,1.123957E-01,2.235452E-01,8.708127E-02,1.774080E-01
-9.51787,38.70000,1.262101E-01,2.572861E-01,1.313685E-01,2.663745E-01,1.291757E-01,2.621518E-01,2.359054E-01,4.678834E-01,2.428895E-01,4.859407E-01,2.378553E-01,4.781598E-01,2.251271E-01,4.556249E-01,2.092859E-01,4.281452E-01,1.956149E-01,4.047580E-01,1.532168E-01,2.980139E-01,1.354615E-01,2.642076E-01,1.125053E-01,2.243170E-01,8.716708E-02,1.783776E-01
-9.51787,38.80000,1.252495E-01,2.568462E-01,1.303666E-01,2.659100E-01,1.281945E-01,2.616983E-01,2.331689E-01,4.646023E-01,2.397439E-01,4.816431E-01,2.350666E-01,4.745570E-01,2.226800E-01,4.534989E-01,2.073609E-01,4.269331E-01,1.939719E-01,4.040988E-01,1.521874E-01,2.969360E-01,1.345449E-01,2.633442E-01,1.118086E-01,2.238337E-01,8.661570E-02,1.781416E-01
-9.51787,38.90000,1.234082E-01,2.542194E-01,1.283809E-01,2.631141E-01,1.262540E-01,2.589754E-01,2.304389E-01,4.609694E-01,2.373347E-01,4.783752E-01,2.325300E-01,4.709557E-01,2.196530E-01,4.493838E-01,2.043700E-01,4.226944E-01,1.909652E-01,3.997242E-01,1.498691E-01,2.935795E-01,1.322331E-01,2.598686E-01,1.099567E-01,2.210621E-01,8.519007E-02,1.759865E-01
-9.51787,39.00000,1.195574E-01,2.470527E-01,1.241842E-01,2.554812E-01,1.221610E-01,2.515393E-01,2.257754E-01,4.534858E-01,2.338473E-01,4.726046E-01,2.279216E-01,4.634456E-01,2.140645E-01,4.392419E-01,1.985346E-01,4.115901E-01,1.849107E-01,3.877605E-01,1.450300E-01,2.838941E-01,1.273936E-01,2.509236E-01,1.061537E-01,2.138516E-01,8.236905E-02,1.703564E-01
