#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T19:42:16', checksum=350676187, kind='quantile-0.05', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0)
-9.61787,39.20000,8.758021E-02,9.071384E-02,8.920085E-02,1.868296E-01,1.971211E-01,1.876093E-01,1.687753E-01,1.508578E-01,1.361525E-01,1.045871E-01,9.021302E-02,7.242942E-02,5.441644E-02,1.850433E-01,1.909491E-01,1.878385E-01,4.382369E-01,4.709405E-01,4.309097E-01,3.689328E-01,3.229618E-01,2.908939E-01,2.102573E-01,1.827385E-01,1.524769E-01,1.176053E-01
-9.61787,39.30000,8.402698E-02,8.679807E-02,8.536923E-02,1.839119E-01,1.950976E-01,1.847314E-01,1.646013E-01,1.455570E-01,1.303454E-01,9.961631E-02,8.583117E-02,7.061725E-02,5.299880E-02,1.789011E-01,1.842259E-01,1.812538E-01,4.424947E-01,4.781462E-01,4.335127E-01,3.650172E-01,3.146549E-01,2.802514E-01,2.019336E-01,1.737693E-01,1.449458E-01,1.140135E-01
-9.61787,39.40000,8.153880E-02,8.404538E-02,8.265872E-02,1.834867E-01,1.954527E-01,1.841442E-01,1.623542E-01,1.419173E-01,1.257412E-01,9.510310E-02,8.114445E-02,6.681139E-02,5.092597E-02,1.775717E-01,1.825189E-01,1.794621E-01,4.828747E-01,5.221595E-01,4.646361E-01,3.761968E-01,3.151377E-01,2.745903E-01,1.944327E-01,1.658048E-01,1.378005E-01,1.072727E-01
-9.61787,39.50000,7.969056E-02,8.209588E-02,8.073354E-02,1.836237E-01,1.963698E-01,1.842277E-01,1.608680E-01,1.395280E-01,1.224579E-01,9.079131E-02,7.676642E-02,6.277674E-02,4.766286E-02,1.861280E-01,1.911485E-01,1.875757E-01,5.659074E-01,6.227202E-01,5.364543E-01,4.179507E-01,3.346321E-01,2.796231E-01,1.900322E-01,1.591415E-01,1.301321E-01,1.007775E-01
-9.51787,38.50000,9.387857E-02,9.751339E-02,9.589472E-02,1.963819E-01,2.080544E-01,1.981603E-01,1.790892E-01,1.619119E-01,1.466067E-01,1.144925E-01,9.964509E-02,8.234040E-02,6.355661E-02,1.890430E-01,1.955386E-01,1.923700E-01,3.995398E-01,4.273310E-01,4.064146E-01,3.651271E-01,3.290378E-01,2.992371E-01,2.246147E-01,1.966272E-01,1.627512E-01,1.274205E-01
-9.51787,38.60000,9.206366E-02,9.573957E-02,9.416237E-02,1.837427E-01,1.931607E-01,1.864568E-01,1.720054E-01,1.576707E-01,1.439138E-01,1.135809E-01,9.916374E-02,8.198206E-02,6.312142E-02,1.871918E-01,1.938847E-01,1.907530E-01,3.716287E-01,3.926008E-01,3.801313E-01,3.511045E-01,3.208847E-01,2.959867E-01,2.240802E-01,1.976575E-01,1.644939E-01,1.288407E-01
-9.51787,38.70000,9.068748E-02,9.437375E-02,9.282310E-02,1.764348E-01,1.844831E-01,1.793455E-01,1.673686E-01,1.542638E-01,1.417317E-01,1.126417E-01,9.852467E-02,8.143952E-02,6.256465E-02,1.866311E-01,1.935710E-01,1.903931E-01,3.578994E-01,3.751445E-01,3.668148E-01,3.440539E-01,3.172603E-01,2.947015E-01,2.244516E-01,1.985551E-01,1.659480E-01,1.301876E-01
-9.51787,38.80000,8.993214E-02,9.362274E-02,9.207910E-02,1.737385E-01,1.811951E-01,1.764916E-01,1.652640E-01,1.524778E-01,1.404004E-01,1.119826E-01,9.796134E-02,8.086906E-02,6.195524E-02,1.872515E-01,1.944242E-01,1.912489E-01,3.552800E-01,3.712697E-01,3.637918E-01,3.427141E-01,3.171934E-01,2.951140E-01,2.254927E-01,2.000558E-01,1.671027E-01,1.311677E-01
-9.51787,38.90000,8.957969E-02,9.324604E-02,9.170225E-02,1.741462E-01,1.817667E-01,1.767875E-01,1.651438E-01,1.520401E-01,1.398235E-01,1.114883E-01,9.738461E-02,8.017427E-02,6.122558E-02,1.880806E-01,1.951522E-01,1.919876E-01,3.576256E-01,3.742081E-01,3.663766E-01,3.445508E-01,3.187914E-01,2.960867E-01,2.264674E-01,2.009875E-01,1.675524E-01,1.314443E-01
-9.51787,39.00000,8.910336E-02,9.270378E-02,9.115988E-02,1.764015E-01,1.845261E-01,1.785400E-01,1.655181E-01,1.515616E-01,1.389418E-01,1.104658E-01,9.631813E-02,7.904720E-02,6.021167E-02,1.877867E-01,1.947088E-01,1.915585E-01,3.636507E-01,3.798775E-01,3.701101E-01,3.470974E-01,3.195863E-01,2.956421E-01,2.255111E-01,1.998850E-01,1.660592E-01,1.300874E-01
