lon,lat,PGA-0.002105,PGA-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.018,37.200,0.144,0.283,0.112,0.206
-9.018,37.300,0.136,0.264,0.105,0.193
-9.018,37.400,0.129,0.249,0.099,0.182
-9.018,37.500,0.122,0.236,0.093,0.173
-9.018,37.600,0.117,0.226,0.089,0.164
-9.018,37.700,0.114,0.219,0.085,0.158
-9.018,37.800,0.112,0.216,0.083,0.154
-9.018,37.900,0.112,0.217,0.082,0.153
-9.018,38.000,0.113,0.222,0.082,0.155
-9.018,38.100,0.117,0.233,0.083,0.162
-9.018,38.200,0.123,0.249,0.087,0.172
-9.018,38.300,0.129,0.262,0.090,0.181
-9.018,38.400,0.133,0.272,0.092,0.188
-9.018,38.500,0.136,0.283,0.095,0.195
-9.018,38.600,0.139,0.296,0.097,0.205
-9.018,38.700,0.141,0.313,0.099,0.218
-9.018,38.800,0.143,0.333,0.100,0.233
-9.018,38.900,0.143,0.350,0.100,0.246
-9.018,39.000,0.141,0.352,0.098,0.248
-9.018,39.100,0.135,0.331,0.094,0.233
-9.018,39.200,0.129,0.307,0.090,0.215
-9.018,39.300,0.124,0.292,0.086,0.204
-9.018,39.400,0.117,0.274,0.082,0.191
-9.018,39.500,0.108,0.250,0.076,0.173
-9.018,39.600,0.099,0.227,0.070,0.157
-9.018,39.700,0.093,0.209,0.066,0.145
-9.018,39.800,0.088,0.195,0.062,0.135
-9.018,39.900,0.083,0.183,0.059,0.126
-9.018,40.000,0.079,0.174,0.056,0.120
-9.018,40.100,0.076,0.167,0.054,0.115
-9.018,40.200,0.073,0.160,0.051,0.110
-9.018,40.300,0.071,0.156,0.049,0.106
-9.018,40.400,0.068,0.151,0.047,0.103
-9.018,40.500,0.066,0.147,0.045,0.100
-9.018,40.600,0.064,0.143,0.044,0.097
-9.018,40.700,0.062,0.140,0.042,0.094
-9.018,41.200,0.056,0.132,0.035,0.081
-9.018,41.300,0.055,0.129,0.034,0.078
-9.018,41.400,0.053,0.124,0.033,0.075
-9.018,41.500,0.051,0.118,0.032,0.073
-9.018,41.600,0.050,0.113,0.031,0.072
-9.018,41.700,0.048,0.109,0.031,0.070
-9.018,41.800,0.047,0.106,0.031,0.069
-9.018,41.900,0.047,0.104,0.030,0.069
-9.018,42.000,0.046,0.102,0.030,0.068
-9.018,42.100,0.046,0.101,0.030,0.067
-9.018,42.200,0.045,0.100,0.029,0.066
-8.918,36.900,0.165,0.325,0.127,0.237
-8.918,37.000,0.159,0.325,0.121,0.226
-8.918,37.100,0.152,0.321,0.116,0.214
-8.918,37.200,0.145,0.298,0.110,0.202
-8.918,37.300,0.137,0.272,0.103,0.190
-8.918,37.400,0.129,0.255,0.097,0.180
-8.918,37.500,0.123,0.240,0.092,0.171
-8.918,37.600,0.118,0.228,0.088,0.163
-8.918,37.700,0.114,0.220,0.085,0.156
-8.918,37.800,0.112,0.217,0.083,0.152
-8.918,37.900,0.111,0.216,0.081,0.151
-8.918,38.000,0.112,0.220,0.081,0.153
-8.918,38.100,0.116,0.230,0.082,0.159
-8.918,38.200,0.122,0.246,0.085,0.169
-8.918,38.300,0.127,0.258,0.088,0.178
-8.918,38.400,0.131,0.269,0.091,0.185
-8.918,38.500,0.135,0.280,0.094,0.193
-8.918,38.600,0.138,0.293,0.096,0.203
-8.918,38.700,0.141,0.311,0.098,0.216
-8.918,38.800,0.143,0.333,0.100,0.233
-8.918,38.900,0.144,0.358,0.100,0.253
-8.918,39.000,0.142,0.367,0.099,0.260
-8.918,39.100,0.137,0.347,0.096,0.245
-8.918,39.200,0.131,0.320,0.092,0.225
-8.918,39.300,0.126,0.302,0.088,0.211
-8.918,39.400,0.120,0.282,0.083,0.197
-8.918,39.500,0.111,0.258,0.078,0.179
-8.918,39.600,0.102,0.237,0.072,0.164
-8.918,39.700,0.095,0.219,0.067,0.151
-8.918,39.800,0.090,0.204,0.064,0.141
-8.918,39.900,0.085,0.190,0.060,0.131
-8.918,40.000,0.081,0.180,0.057,0.124
-8.918,40.100,0.077,0.173,0.055,0.119
-8.918,40.200,0.074,0.167,0.052,0.114
-8.918,40.300,0.072,0.162,0.050,0.111
-8.918,40.400,0.069,0.157,0.048,0.108
-8.918,40.500,0.067,0.153,0.046,0.104
-8.918,40.600,0.065,0.148,0.045,0.101
-8.918,40.700,0.063,0.145,0.043,0.099
-8.918,40.800,0.061,0.142,0.041,0.096
-8.918,40.900,0.059,0.139,0.040,0.094
-8.918,41.000,0.058,0.136,0.039,0.091
-8.918,41.100,0.057,0.133,0.037,0.088
-8.918,41.200,0.056,0.129,0.036,0.085
-8.918,41.300,0.054,0.125,0.035,0.082
-8.918,41.400,0.052,0.121,0.034,0.079
-8.918,41.500,0.051,0.117,0.033,0.077
-8.918,41.600,0.050,0.113,0.032,0.075
-8.918,41.700,0.049,0.110,0.032,0.073
-8.918,41.800,0.048,0.107,0.031,0.071
-8.918,41.900,0.047,0.105,0.031,0.070
-8.918,42.000,0.047,0.104,0.031,0.069
-8.918,42.100,0.046,0.102,0.030,0.068
-8.918,42.200,0.046,0.101,0.030,0.068
-8.818,36.900,0.164,0.326,0.124,0.231
-8.818,37.000,0.159,0.330,0.119,0.221
-8.818,37.100,0.152,0.328,0.114,0.211
-8.818,37.200,0.145,0.311,0.108,0.200
-8.818,37.300,0.138,0.281,0.102,0.189
-8.818,37.400,0.131,0.262,0.096,0.179
-8.818,37.500,0.124,0.245,0.092,0.170
-8.818,37.600,0.118,0.231,0.087,0.161
-8.818,37.700,0.114,0.220,0.084,0.154
-8.818,37.800,0.111,0.215,0.082,0.150
-8.818,37.900,0.109,0.213,0.080,0.148
-8.818,38.000,0.110,0.216,0.080,0.150
-8.818,38.100,0.113,0.225,0.081,0.155
-8.818,38.200,0.119,0.240,0.084,0.165
-8.818,38.300,0.124,0.251,0.086,0.173
-8.818,38.400,0.127,0.261,0.089,0.180
-8.818,38.500,0.131,0.272,0.092,0.188
-8.818,38.600,0.135,0.285,0.094,0.197
-8.818,38.700,0.139,0.302,0.097,0.209
-8.818,38.800,0.141,0.324,0.099,0.226
-8.818,38.900,0.143,0.350,0.099,0.246
-8.818,39.000,0.141,0.368,0.099,0.260
-8.818,39.100,0.138,0.359,0.096,0.254
-8.818,39.200,0.133,0.338,0.093,0.238
-8.818,39.300,0.128,0.315,0.089,0.221
-8.818,39.400,0.122,0.289,0.085,0.201
-8.818,39.500,0.113,0.266,0.079,0.184
