lon,lat,mean
-8.81787,37.3,0.223
-8.81787,37.4,0.214
-8.81787,37.5,0.201
-8.81787,37.6,0.189
-8.81787,37.7,0.182
-8.81787,37.8,0.179
-8.81787,37.9,0.179
-8.81787,38,0.182
-8.81787,38.1,0.192
-8.81787,38.2,0.205
-8.81787,38.3,0.213
-8.81787,38.4,0.215
-8.81787,38.5,0.216
-8.81787,38.6,0.217
-8.81787,38.7,0.218
-8.81787,38.8,0.217
-8.81787,38.9,0.221
-8.81787,39,0.223
-8.81787,39.1,0.219
-8.81787,39.2,0.21
-8.81787,39.3,0.196
-8.81787,39.4,0.172
-8.81787,39.5,0.153
-8.81787,39.6,0.144
-8.81787,39.7,0.133
-8.81787,39.8,0.128
-8.81787,39.9,0.12
-8.81787,40,0.117
-8.81787,40.1,0.111
-8.81787,40.2,0.105
-8.81787,40.3,0.103
-8.81787,40.4,0.1
-8.81787,40.5,0.096
-8.81787,40.6,0.093
-8.81787,40.7,0.091
-8.81787,40.8,0.089
-8.81787,40.9,0.088
-8.81787,41,0.086
-8.81787,41.1,0.085
-8.81787,41.2,0.083
-8.81787,41.3,0.081
-8.81787,41.4,0.079
-8.81787,41.5,0.078
-8.81787,41.6,0.077
-8.81787,41.7,0.076
-8.81787,41.8,0.075
-8.81787,41.9,0.075
-8.81787,42,0.074
-8.81787,42.1,0.073
-8.81787,42.2,0.073
-8.71787,36.9,0.233
-8.71787,37,0.246
-8.71787,37.1,0.241
-8.71787,37.2,0.234
-8.71787,37.3,0.224
-8.71787,37.4,0.214
-8.71787,37.5,0.202
-8.71787,37.6,0.189
-8.71787,37.7,0.182
-8.71787,37.8,0.178
-8.71787,37.9,0.177
-8.71787,38,0.179
-8.71787,38.1,0.184
-8.71787,38.2,0.195
-8.71787,38.3,0.206
-8.71787,38.4,0.21
-8.71787,38.5,0.212
-8.71787,38.6,0.214
-8.71787,38.7,0.214
-8.71787,38.8,0.215
-8.71787,38.9,0.219
-8.71787,39,0.221
-8.71787,39.1,0.22
-8.71787,39.2,0.214
-8.71787,39.3,0.201
-8.71787,39.4,0.175
-8.71787,39.5,0.157
-8.71787,39.6,0.144
-8.71787,39.7,0.134
-8.71787,39.8,0.127
-8.71787,39.9,0.121
-8.71787,40,0.117
-8.71787,40.1,0.111
-8.71787,40.2,0.106
-8.71787,40.3,0.104
-8.71787,40.4,0.101
-8.71787,40.5,0.097
-8.71787,40.6,0.094
-8.71787,40.7,0.092
-8.71787,40.8,0.09
-8.71787,40.9,0.089
-8.71787,41,0.087
-8.71787,41.1,0.085
-8.71787,41.2,0.084
-8.71787,41.3,0.082
-8.71787,41.4,0.08
-8.71787,41.5,0.079
-8.71787,41.6,0.077
-8.71787,41.7,0.076
-8.71787,41.8,0.076
-8.71787,41.9,0.075
