lon,lat,mean
-8.81787,37.3,0.112
-8.81787,37.4,0.106
-8.81787,37.5,0.096
-8.81787,37.6,0.089
-8.81787,37.7,0.085
-8.81787,37.8,0.082
-8.81787,37.9,0.08
-8.81787,38,0.08
-8.81787,38.1,0.082
-8.81787,38.2,0.085
-8.81787,38.3,0.088
-8.81787,38.4,0.089
-8.81787,38.5,0.09
-8.81787,38.6,0.092
-8.81787,38.7,0.094
-8.81787,38.8,0.096
-8.81787,38.9,0.097
-8.81787,39,0.098
-8.81787,39.1,0.095
-8.81787,39.2,0.092
-8.81787,39.3,0.089
-8.81787,39.4,0.085
-8.81787,39.5,0.079
-8.81787,39.6,0.071
-8.81787,39.7,0.067
-8.81787,39.8,0.064
-8.81787,39.9,0.061
-8.81787,40,0.058
-8.81787,40.1,0.056
-8.81787,40.2,0.055
-8.81787,40.3,0.054
-8.81787,40.4,0.053
-8.81787,40.5,0.052
-8.81787,40.6,0.05
-8.81787,40.7,0.05
-8.81787,40.8,0.049
-8.81787,40.9,0.049
-8.81787,41,0.048
-8.81787,41.1,0.048
-8.81787,41.2,0.047
-8.81787,41.3,0.046
-8.81787,41.4,0.044
-8.81787,41.5,0.044
-8.81787,41.6,0.043
-8.81787,41.7,0.042
-8.81787,41.8,0.041
-8.81787,41.9,0.04
-8.81787,42,0.039
-8.81787,42.1,0.039
-8.81787,42.2,0.038
-8.71787,36.9,0.147
-8.71787,37,0.129
-8.71787,37.1,0.121
-8.71787,37.2,0.117
-8.71787,37.3,0.112
-8.71787,37.4,0.106
-8.71787,37.5,0.096
-8.71787,37.6,0.088
-8.71787,37.7,0.084
-8.71787,37.8,0.08
-8.71787,37.9,0.078
-8.71787,38,0.077
-8.71787,38.1,0.079
-8.71787,38.2,0.083
-8.71787,38.3,0.085
-8.71787,38.4,0.086
-8.71787,38.5,0.087
-8.71787,38.6,0.09
-8.71787,38.7,0.092
-8.71787,38.8,0.094
-8.71787,38.9,0.096
-8.71787,39,0.096
-8.71787,39.1,0.096
-8.71787,39.2,0.093
-8.71787,39.3,0.09
-8.71787,39.4,0.086
-8.71787,39.5,0.08
-8.71787,39.6,0.072
-8.71787,39.7,0.067
-8.71787,39.8,0.064
-8.71787,39.9,0.061
-8.71787,40,0.058
-8.71787,40.1,0.056
-8.71787,40.2,0.054
-8.71787,40.3,0.054
-8.71787,40.4,0.053
-8.71787,40.5,0.051
-8.71787,40.6,0.05
-8.71787,40.7,0.049
-8.71787,40.8,0.049
-8.71787,40.9,0.048
-8.71787,41,0.047
-8.71787,41.1,0.046
-8.71787,41.2,0.045
-8.71787,41.3,0.044
-8.71787,41.4,0.043
-8.71787,41.5,0.042
-8.71787,41.6,0.042
-8.71787,41.7,0.041
-8.71787,41.8,0.04
-8.71787,41.9,0.039
-8.71787,42,0.039
-8.71787,42.1,0.039
-8.71787,42.2,0.038
-8.61787,36.9,0.147
-8.61787,37,0.129
-8.61787,37.1,0.121
-8.61787,37.2,0.116
-8.61787,37.3,0.112
-8.61787,37.4,0.106
-8.61787,37.5,0.095
-8.61787,37.6,0.087
-8.61787,37.7,0.083
-8.61787,37.8,0.079
