lon,lat,mean
-8.81787,37.3,0.21
-8.81787,37.4,0.19
-8.81787,37.5,0.18
-8.81787,37.6,0.17
-8.81787,37.7,0.16
-8.81787,37.8,0.15
-8.81787,37.9,0.15
-8.81787,38,0.15
-8.81787,38.1,0.15
-8.81787,38.2,0.15
-8.81787,38.3,0.16
-8.81787,38.4,0.16
-8.81787,38.5,0.16
-8.81787,38.6,0.16
-8.81787,38.7,0.17
-8.81787,38.8,0.17
-8.81787,38.9,0.17
-8.81787,39,0.16
-8.81787,39.1,0.16
-8.81787,39.2,0.15
-8.81787,39.3,0.15
-8.81787,39.4,0.13
-8.81787,39.5,0.12
-8.81787,39.6,0.11
-8.81787,39.7,0.11
-8.81787,39.8,0.1
-8.81787,39.9,0.1
-8.81787,40,0.09
-8.81787,40.1,0.09
-8.81787,40.2,0.08
-8.81787,40.3,0.08
-8.81787,40.4,0.08
-8.81787,40.5,0.08
-8.81787,40.6,0.07
-8.81787,40.7,0.07
-8.81787,40.8,0.07
-8.81787,40.9,0.07
-8.81787,41,0.06
-8.81787,41.1,0.06
-8.81787,41.2,0.06
-8.81787,41.3,0.06
-8.81787,41.4,0.06
-8.81787,41.5,0.06
-8.81787,41.6,0.05
-8.81787,41.7,0.05
-8.81787,41.8,0.05
-8.81787,41.9,0.05
-8.81787,42,0.05
-8.81787,42.1,0.05
-8.81787,42.2,0.05
-8.71787,36.9,0.24
-8.71787,37,0.23
-8.71787,37.1,0.22
-8.71787,37.2,0.21
-8.71787,37.3,0.2
-8.71787,37.4,0.19
-8.71787,37.5,0.18
-8.71787,37.6,0.17
-8.71787,37.7,0.16
-8.71787,37.8,0.15
-8.71787,37.9,0.15
-8.71787,38,0.14
-8.71787,38.1,0.14
-8.71787,38.2,0.15
-8.71787,38.3,0.15
-8.71787,38.4,0.16
-8.71787,38.5,0.16
-8.71787,38.6,0.16
-8.71787,38.7,0.16
-8.71787,38.8,0.16
-8.71787,38.9,0.16
-8.71787,39,0.16
-8.71787,39.1,0.16
-8.71787,39.2,0.15
-8.71787,39.3,0.15
-8.71787,39.4,0.14
-8.71787,39.5,0.12
-8.71787,39.6,0.11
-8.71787,39.7,0.11
-8.71787,39.8,0.1
-8.71787,39.9,0.1
-8.71787,40,0.09
-8.71787,40.1,0.09
-8.71787,40.2,0.09
-8.71787,40.3,0.08
-8.71787,40.4,0.08
-8.71787,40.5,0.08
-8.71787,40.6,0.07
-8.71787,40.7,0.07
-8.71787,40.8,0.07
-8.71787,40.9,0.07
-8.71787,41,0.07
-8.71787,41.1,0.06
-8.71787,41.2,0.06
-8.71787,41.3,0.06
-8.71787,41.4,0.06
-8.71787,41.5,0.06
-8.71787,41.6,0.06
-8.71787,41.7,0.05
-8.71787,41.8,0.05
-8.71787,41.9,0.05
-8.71787,42,0.05
-8.71787,42.1,0.05
-8.71787,42.2,0.05
-8.61787,36.9,0.23
-8.61787,37,0.22
-8.61787,37.1,0.22
-8.61787,37.2,0.21
-8.61787,37.3,0.2
-8.61787,37.4,0.19
-8.61787,37.5,0.17
-8.61787,37.6,0.16
-8.61787,37.7,0.15
-8.61787,37.8,0.15
-8.61787,37.9,0.14
-8.61787,38,0.14
-8.61787,38.1,0.14
-8.61787,38.2,0.14
-8.61787,38.3,0.15
-8.61787,38.4,0.15
-8.61787,38.5,0.15
-8.61787,38.6,0.15
-8.61787,38.7,0.16
-8.61787,38.8,0.16
-8.61787,38.9,0.16
-8.61787,39,0.16
-8.61787,39.1,0.15
-8.61787,39.2,0.15
-8.61787,39.3,0.14
-8.61787,39.4,0.14
-8.61787,39.5,0.13
-8.61787,39.6,0.11
-8.61787,39.7,0.11
-8.61787,39.8,0.1
-8.61787,39.9,0.1
-8.61787,40,0.09
-8.61787,40.1,0.09
-8.61787,40.2,0.09
-8.61787,40.3,0.08
-8.61787,40.4,0.08
-8.61787,40.5,0.08
-8.61787,40.6,0.07
-8.61787,40.7,0.07
-8.61787,40.8,0.07
-8.61787,40.9,0.07
-8.61787,41,0.07
-8.61787,41.1,0.06
-8.61787,41.2,0.06
-8.61787,41.3,0.06
-8.61787,41.4,0.06
-8.61787,41.5,0.06
-8.61787,41.6,0.06
-8.61787,41.7,0.05
-8.61787,41.8,0.05
-8.61787,41.9,0.05
-8.61787,42,0.05
-8.61787,42.1,0.05
-8.61787,42.2,0.05
-8.51787,36.9,0.22
-8.51787,37,0.22
-8.51787,37.1,0.21
-8.51787,37.2,0.2
-8.51787,37.3,0.19
-8.51787,37.4,0.18
-8.51787,37.5,0.17
-8.51787,37.6,0.16
-8.51787,37.7,0.15
-8.51787,37.8,0.14
-8.51787,37.9,0.14
-8.51787,38,0.14
-8.51787,38.1,0.14
-8.51787,38.2,0.14
-8.51787,38.3,0.14
-8.51787,38.4,0.14
-8.51787,38.5,0.14
-8.51787,38.6,0.15
-8.51787,38.7,0.15
-8.51787,38.8,0.15
-8.51787,38.9,0.15
-8.51787,39,0.15
-8.51787,39.1,0.15
-8.51787,39.2,0.15
-8.51787,39.3,0.14
-8.51787,39.4,0.14
-8.51787,39.5,0.13
-8.51787,39.6,0.11
-8.51787,39.7,0.11
-8.51787,39.8,0.1
-8.51787,39.9,0.1
-8.51787,40,0.09
-8.51787,40.1,0.09
-8.51787,40.2,0.09
-8.51787,40.3,0.08
-8.51787,40.4,0.08
-8.51787,40.5,0.08
-8.51787,40.6,0.07
-8.51787,40.7,0.07
-8.51787,40.8,0.07
-8.51787,40.9,0.07
-8.51787,41,0.07
-8.51787,41.1,0.06
-8.51787,41.2,0.06
-8.51787,41.3,0.06
-8.51787,41.4,0.06
-8.51787,41.5,0.06
-8.51787,41.6,0.06
-8.51787,41.7,0.06
-8.51787,41.8,0.05
-8.51787,41.9,0.05
-8.51787,42,0.05
-8.51787,42.1,0.05
-8.51787,42.2,0.05
-8.41787,36.9,0.22
-8.41787,37,0.22
-8.41787,37.1,0.21
-8.41787,37.2,0.2
-8.41787,37.3,0.19
-8.41787,37.4,0.18
-8.41787,37.5,0.17
-8.41787,37.6,0.16
-8.41787,37.7,0.15
-8.41787,37.8,0.14
