lon,lat,mean
-8.81787,37.3,0.176
-8.81787,37.4,0.171
-8.81787,37.5,0.164
-8.81787,37.6,0.157
-8.81787,37.7,0.153
-8.81787,37.8,0.15
-8.81787,37.9,0.149
-8.81787,38,0.149
-8.81787,38.1,0.154
-8.81787,38.2,0.159
-8.81787,38.3,0.162
-8.81787,38.4,0.162
-8.81787,38.5,0.16
-8.81787,38.6,0.16
-8.81787,38.7,0.159
-8.81787,38.8,0.156
-8.81787,38.9,0.158
-8.81787,39,0.159
-8.81787,39.1,0.155
-8.81787,39.2,0.148
-8.81787,39.3,0.139
-8.81787,39.4,0.124
-8.81787,39.5,0.111
-8.81787,39.6,0.106
-8.81787,39.7,0.096
-8.81787,39.8,0.093
-8.81787,39.9,0.086
-8.81787,40,0.084
-8.81787,40.1,0.078
-8.81787,40.2,0.074
-8.81787,40.3,0.073
-8.81787,40.4,0.071
-8.81787,40.5,0.067
-8.81787,40.6,0.065
-8.81787,40.7,0.064
-8.81787,40.8,0.063
-8.81787,40.9,0.062
-8.81787,41,0.061
-8.81787,41.1,0.06
-8.81787,41.2,0.059
-8.81787,41.3,0.058
-8.81787,41.4,0.056
-8.81787,41.5,0.056
-8.81787,41.6,0.055
-8.81787,41.7,0.054
-8.81787,41.8,0.053
-8.81787,41.9,0.052
-8.81787,42,0.051
-8.81787,42.1,0.051
-8.81787,42.2,0.05
-8.71787,36.9,0.161
-8.71787,37,0.188
-8.71787,37.1,0.185
-8.71787,37.2,0.181
-8.71787,37.3,0.176
-8.71787,37.4,0.171
-8.71787,37.5,0.164
-8.71787,37.6,0.156
-8.71787,37.7,0.152
-8.71787,37.8,0.148
-8.71787,37.9,0.147
-8.71787,38,0.147
-8.71787,38.1,0.148
-8.71787,38.2,0.153
-8.71787,38.3,0.158
-8.71787,38.4,0.157
-8.71787,38.5,0.158
-8.71787,38.6,0.157
-8.71787,38.7,0.156
-8.71787,38.8,0.154
-8.71787,38.9,0.157
-8.71787,39,0.157
-8.71787,39.1,0.156
-8.71787,39.2,0.151
-8.71787,39.3,0.142
-8.71787,39.4,0.124
-8.71787,39.5,0.113
-8.71787,39.6,0.103
-8.71787,39.7,0.096
-8.71787,39.8,0.091
-8.71787,39.9,0.086
-8.71787,40,0.084
-8.71787,40.1,0.078
-8.71787,40.2,0.074
-8.71787,40.3,0.073
-8.71787,40.4,0.071
-8.71787,40.5,0.067
-8.71787,40.6,0.065
-8.71787,40.7,0.064
-8.71787,40.8,0.063
-8.71787,40.9,0.062
-8.71787,41,0.061
-8.71787,41.1,0.06
-8.71787,41.2,0.059
-8.71787,41.3,0.057
-8.71787,41.4,0.056
-8.71787,41.5,0.055
-8.71787,41.6,0.054
-8.71787,41.7,0.053
-8.71787,41.8,0.053
-8.71787,41.9,0.052
-8.71787,42,0.051
-8.71787,42.1,0.051
-8.71787,42.2,0.05
-8.61787,36.9,0.161
-8.61787,37,0.188
-8.61787,37.1,0.185
-8.61787,37.2,0.181
-8.61787,37.3,0.176
-8.61787,37.4,0.17
-8.61787,37.5,0.163
-8.61787,37.6,0.155
-8.61787,37.7,0.15
-8.61787,37.8,0.148
-8.61787,37.9,0.146
-8.61787,38,0.145
-8.61787,38.1,0.145
-8.61787,38.2,0.146
-8.61787,38.3,0.149
-8.61787,38.4,0.152
-8.61787,38.5,0.153
-8.61787,38.6,0.154
-8.61787,38.7,0.152
-8.61787,38.8,0.152
-8.61787,38.9,0.155
-8.61787,39,0.152
-8.61787,39.1,0.151
-8.61787,39.2,0.149
-8.61787,39.3,0.145
-8.61787,39.4,0.131
-8.61787,39.5,0.117
-8.61787,39.6,0.104
-8.61787,39.7,0.096
-8.61787,39.8,0.089
-8.61787,39.9,0.086
-8.61787,40,0.084
-8.61787,40.1,0.079
-8.61787,40.2,0.074
-8.61787,40.3,0.073
-8.61787,40.4,0.071
-8.61787,40.5,0.067
-8.61787,40.6,0.065
-8.61787,40.7,0.064
-8.61787,40.8,0.063
-8.61787,40.9,0.062
-8.61787,41,0.061
-8.61787,41.1,0.059
-8.61787,41.2,0.058
-8.61787,41.3,0.057
-8.61787,41.4,0.056
-8.61787,41.5,0.055
-8.61787,41.6,0.054
-8.61787,41.7,0.053
-8.61787,41.8,0.052
-8.61787,41.9,0.052
-8.61787,42,0.051
-8.61787,42.1,0.05
-8.61787,42.2,0.05
-8.51787,36.9,0.163
-8.51787,37,0.188
-8.51787,37.1,0.185
-8.51787,37.2,0.18
-8.51787,37.3,0.175
-8.51787,37.4,0.169
-8.51787,37.5,0.161
-8.51787,37.6,0.154
-8.51787,37.7,0.149
-8.51787,37.8,0.147
-8.51787,37.9,0.144
-8.51787,38,0.143
-8.51787,38.1,0.143
-8.51787,38.2,0.141
-8.51787,38.3,0.141
-8.51787,38.4,0.142
-8.51787,38.5,0.143
-8.51787,38.6,0.147
-8.51787,38.7,0.146
-8.51787,38.8,0.147
-8.51787,38.9,0.147
-8.51787,39,0.145
-8.51787,39.1,0.145
-8.51787,39.2,0.145
-8.51787,39.3,0.14
-8.51787,39.4,0.132
-8.51787,39.5,0.122
-8.51787,39.6,0.103
-8.51787,39.7,0.096
-8.51787,39.8,0.088
-8.51787,39.9,0.085
-8.51787,40,0.08
-8.51787,40.1,0.078
-8.51787,40.2,0.074
-8.51787,40.3,0.073
-8.51787,40.4,0.069
-8.51787,40.5,0.067
-8.51787,40.6,0.065
-8.51787,40.7,0.064
-8.51787,40.8,0.063
-8.51787,40.9,0.062
-8.51787,41,0.06
-8.51787,41.1,0.059
-8.51787,41.2,0.058
-8.51787,41.3,0.057
-8.51787,41.4,0.055
-8.51787,41.5,0.054
-8.51787,41.6,0.054
-8.51787,41.7,0.053
-8.51787,41.8,0.052
-8.51787,41.9,0.051
-8.51787,42,0.051
-8.51787,42.1,0.05
-8.51787,42.2,0.05
-8.41787,36.9,0.166
-8.41787,37,0.188
-8.41787,37.1,0.185
-8.41787,37.2,0.18
-8.41787,37.3,0.174
-8.41787,37.4,0.168
-8.41787,37.5,0.16
-8.41787,37.6,0.153
-8.41787,37.7,0.149
-8.41787,37.8,0.145
-8.41787,37.9,0.143
-8.41787,38,0.142
-8.41787,38.1,0.139
-8.41787,38.2,0.137
-8.41787,38.3,0.137
-8.41787,38.4,0.138
-8.41787,38.5,0.136
-8.41787,38.6,0.136
-8.41787,38.7,0.135
-8.41787,38.8,0.136
-8.41787,38.9,0.134
-8.41787,39,0.135
-8.41787,39.1,0.138
-8.41787,39.2,0.137
-8.41787,39.3,0.133
-8.41787,39.4,0.128
-8.41787,39.5,0.122
-8.41787,39.6,0.105
-8.41787,39.7,0.093
-8.41787,39.8,0.086
-8.41787,39.9,0.084
-8.41787,40,0.079
-8.41787,40.1,0.078
-8.41787,40.2,0.074
-8.41787,40.3,0.072
-8.41787,40.4,0.069
-8.41787,40.5,0.066
-8.41787,40.6,0.065
-8.41787,40.7,0.064
-8.41787,40.8,0.062
-8.41787,40.9,0.061
-8.41787,41,0.06
-8.41787,41.1,0.058
-8.41787,41.2,0.057
-8.41787,41.3,0.056
-8.41787,41.4,0.055
-8.41787,41.5,0.054
-8.41787,41.6,0.053
-8.41787,41.7,0.052
-8.41787,41.8,0.052
-8.41787,41.9,0.051
-8.41787,42,0.051
-8.41787,42.1,0.05
-8.41787,42.2,0.049
-8.31787,36.9,0.168
-8.31787,37,0.19
-8.31787,37.1,0.186
-8.31787,37.2,0.18
-8.31787,37.3,0.174
-8.31787,37.4,0.166
-8.31787,37.5,0.157
-8.31787,37.6,0.151
-8.31787,37.7,0.146
-8.31787,37.8,0.144
-8.31787,37.9,0.141
-8.31787,38,0.138
-8.31787,38.1,0.136
-8.31787,38.2,0.135
-8.31787,38.3,0.135
-8.31787,38.4,0.132
-8.31787,38.5,0.13
-8.31787,38.6,0.13
-8.31787,38.7,0.129
-8.31787,38.8,0.128
-8.31787,38.9,0.123
-8.31787,39,0.125
-8.31787,39.1,0.125
-8.31787,39.2,0.122
-8.31787,39.3,0.118
-8.31787,39.4,0.116
-8.31787,39.5,0.109
-8.31787,39.6,0.1
-8.31787,39.7,0.09
-8.31787,39.8,0.084
-8.31787,39.9,0.08
-8.31787,40,0.077
-8.31787,40.1,0.074
-8.31787,40.2,0.072
-8.31787,40.3,0.071
-8.31787,40.4,0.067
-8.31787,40.5,0.065
