#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:54:35', checksum=598091281, kind='mean', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.002105~SA(2.0),0.002105~SA(3.0),0.002105~SA(4.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0),0.000404~SA(2.0),0.000404~SA(3.0),0.000404~SA(4.0)
-9.61787,39.00000,1.120061E-01,1.564119E-01,2.353593E-01,2.601140E-01,2.559544E-01,2.435722E-01,2.250109E-01,2.119920E-01,2.000899E-01,1.645979E-01,1.457153E-01,1.103177E-01,1.022327E-01,6.334171E-02,7.890686E-02,5.629101E-02,2.137931E-01,3.183571E-01,4.723738E-01,5.130136E-01,5.003105E-01,4.645455E-01,4.177195E-01,3.880412E-01,3.609027E-01,3.008553E-01,2.703513E-01,2.077867E-01,1.987394E-01,1.423118E-01,2.023088E-01,1.518183E-01
-9.61787,39.10000,1.048303E-01,1.438409E-01,2.174332E-01,2.431043E-01,2.402655E-01,2.302743E-01,2.135172E-01,2.024546E-01,1.917495E-01,1.582237E-01,1.403240E-01,1.060128E-01,9.853014E-02,6.098193E-02,7.608892E-02,5.398285E-02,2.008852E-01,2.947111E-01,4.368513E-01,4.756747E-01,4.638318E-01,4.343418E-01,3.942814E-01,3.699180E-01,3.455907E-01,2.889456E-01,2.597049E-01,1.998861E-01,1.929604E-01,1.394979E-01,1.998703E-01,1.497682E-01
-9.61787,39.20000,1.006629E-01,1.375468E-01,2.077910E-01,2.331406E-01,2.305467E-01,2.210410E-01,2.059069E-01,1.958970E-01,1.858416E-01,1.536167E-01,1.361160E-01,1.027275E-01,9.553225E-02,5.884013E-02,7.332472E-02,5.166405E-02,1.942915E-01,2.838129E-01,4.201496E-01,4.568592E-01,4.456014E-01,4.185070E-01,3.815581E-01,3.595136E-01,3.365022E-01,2.809614E-01,2.527568E-01,1.939761E-01,1.883715E-01,1.365438E-01,1.966066E-01,1.466840E-01
-9.61787,39.30000,9.679689E-02,1.320661E-01,1.995835E-01,2.240179E-01,2.216650E-01,2.128220E-01,1.986898E-01,1.891876E-01,1.794867E-01,1.485397E-01,1.309587E-01,9.903879E-02,9.169479E-02,5.561242E-02,6.835271E-02,4.773202E-02,1.889656E-01,2.761982E-01,4.083828E-01,4.433175E-01,4.322888E-01,4.061241E-01,3.707284E-01,3.495655E-01,3.271411E-01,2.725013E-01,2.448998E-01,1.874990E-01,1.820682E-01,1.312627E-01,1.882902E-01,1.398152E-01
-9.61787,39.40000,9.273923E-02,1.260055E-01,1.906587E-01,2.143106E-01,2.124235E-01,2.043569E-01,1.912458E-01,1.822712E-01,1.728659E-01,1.432591E-01,1.257492E-01,9.532612E-02,8.786344E-02,5.260165E-02,6.394497E-02,4.432392E-02,1.827515E-01,2.660389E-01,3.932877E-01,4.271599E-01,4.168994E-01,3.923673E-01,3.590755E-01,3.391043E-01,3.176152E-01,2.640395E-01,2.372221E-01,1.811858E-01,1.762106E-01,1.266963E-01,1.815623E-01,1.341584E-01
-9.61787,39.50000,8.967365E-02,1.215613E-01,1.837155E-01,2.062550E-01,2.045851E-01,1.973183E-01,1.853873E-01,1.771574E-01,1.682653E-01,1.395839E-01,1.221299E-01,9.242819E-02,8.538765E-02,5.082005E-02,6.159627E-02,4.235965E-02,1.791495E-01,2.610260E-01,3.845211E-01,4.161205E-01,4.058006E-01,3.822968E-01,3.508040E-01,3.315111E-01,3.115581E-01,2.586827E-01,2.323509E-01,1.769548E-01,1.727554E-01,1.241641E-01,1.794492E-01,1.319255E-01
-9.51787,38.50000,1.275863E-01,1.811709E-01,2.718408E-01,2.991386E-01,2.926545E-01,2.758194E-01,2.523262E-01,2.369398E-01,2.205871E-01,1.824216E-01,1.616348E-01,1.233473E-01,1.144757E-01,7.138307E-02,8.848105E-02,6.491608E-02,2.412405E-01,3.636879E-01,5.398255E-01,5.840052E-01,5.686218E-01,5.266609E-01,4.697148E-01,4.308098E-01,3.984274E-01,3.302524E-01,2.985261E-01,2.295854E-01,2.181250E-01,1.544279E-01,2.120960E-01,1.612179E-01
-9.51787,38.60000,1.273060E-01,1.809221E-01,2.716472E-01,2.992543E-01,2.929788E-01,2.758202E-01,2.521690E-01,2.365812E-01,2.202136E-01,1.820190E-01,1.610218E-01,1.227715E-01,1.137081E-01,7.078245E-02,8.821333E-02,6.439971E-02,2.402799E-01,3.618608E-01,5.377086E-01,5.828587E-01,5.681463E-01,5.261413E-01,4.691001E-01,4.299562E-01,3.977132E-01,3.295922E-01,2.975207E-01,2.286218E-01,2.168688E-01,1.537245E-01,2.131482E-01,1.614369E-01
-9.51787,38.70000,1.270767E-01,1.807088E-01,2.711287E-01,2.985405E-01,2.923537E-01,2.751900E-01,2.518125E-01,2.364496E-01,2.202853E-01,1.820841E-01,1.609648E-01,1.225685E-01,1.137644E-01,7.114964E-02,8.988110E-02,6.527936E-02,2.394962E-01,3.602095E-01,5.354158E-01,5.808886E-01,5.666634E-01,5.249304E-01,4.683238E-01,4.296386E-01,3.979421E-01,3.297888E-01,2.975402E-01,2.283384E-01,2.171703E-01,1.549538E-01,2.178479E-01,1.641634E-01
-9.51787,38.80000,1.258514E-01,1.792345E-01,2.687445E-01,2.956608E-01,2.895414E-01,2.724203E-01,2.493357E-01,2.341171E-01,2.180965E-01,1.800961E-01,1.590460E-01,1.209474E-01,1.120476E-01,6.990439E-02,8.850653E-02,6.394148E-02,2.380302E-01,3.583208E-01,5.324270E-01,5.774310E-01,5.633679E-01,5.216540E-01,4.651240E-01,4.265726E-01,3.950659E-01,3.274146E-01,2.950974E-01,2.261966E-01,2.147354E-01,1.531891E-01,2.170600E-01,1.629726E-01
