#,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-04T09:01:17', checksum=3746912572, kind='quantile-0.95', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.71787,38.60000,1.667749E-01,3.271525E-01,1.022163E-01,1.933946E-01
-9.71787,38.70000,1.605506E-01,3.035881E-01,1.027137E-01,1.952873E-01
-9.71787,38.80000,1.584803E-01,3.008558E-01,1.015434E-01,1.939840E-01
-9.71787,38.90000,1.554197E-01,2.967670E-01,9.856809E-02,1.885823E-01
-9.71787,39.00000,1.530426E-01,2.979674E-01,9.418801E-02,1.795347E-01
-9.61787,38.50000,1.688869E-01,3.199395E-01,1.090151E-01,2.072424E-01
-9.61787,38.60000,1.654577E-01,3.085004E-01,1.108693E-01,2.108319E-01
-9.61787,38.70000,1.622730E-01,3.019216E-01,1.105344E-01,2.105137E-01
-9.61787,38.80000,1.596239E-01,2.975318E-01,1.090115E-01,2.081029E-01
-9.61787,38.90000,1.554633E-01,2.903937E-01,1.058143E-01,2.023526E-01
-9.61787,39.00000,1.489177E-01,2.795262E-01,1.003518E-01,1.914771E-01
-9.61787,39.10000,1.391850E-01,2.645829E-01,9.301464E-02,1.746820E-01
-9.61787,39.20000,1.314357E-01,2.618922E-01,8.711873E-02,1.620097E-01
-9.61787,39.30000,1.267489E-01,2.573796E-01,8.266687E-02,1.542884E-01
-9.61787,39.40000,1.243717E-01,2.510830E-01,7.811394E-02,1.480902E-01
-9.61787,39.50000,1.252307E-01,2.656603E-01,7.327402E-02,1.414626E-01
-9.51787,38.50000,1.704987E-01,3.187287E-01,1.162562E-01,2.218044E-01
-9.51787,38.60000,1.694938E-01,3.154236E-01,1.172328E-01,2.225628E-01
-9.51787,38.70000,1.673173E-01,3.116925E-01,1.165950E-01,2.205985E-01
-9.51787,38.80000,1.647921E-01,3.071962E-01,1.150111E-01,2.176718E-01
-9.51787,38.90000,1.603423E-01,2.994926E-01,1.116833E-01,2.122262E-01
-9.51787,39.00000,1.521983E-01,2.851347E-01,1.058043E-01,2.010215E-01
-9.51787,39.10000,1.395904E-01,2.677935E-01,9.782177E-02,1.833150E-01
-9.51787,39.20000,1.303211E-01,2.647259E-01,9.143841E-02,1.726834E-01
-9.51787,39.30000,1.246815E-01,2.578606E-01,8.655223E-02,1.679332E-01
-9.51787,39.40000,1.202231E-01,2.495635E-01,8.215038E-02,1.615549E-01
-9.51787,39.50000,1.142023E-01,2.421994E-01,7.625932E-02,1.537014E-01
-9.51787,39.60000,1.120037E-01,2.405311E-01,7.276687E-02,1.452911E-01
-9.41787,38.20000,1.625989E-01,3.085226E-01,1.076707E-01,2.046625E-01
-9.41787,38.30000,1.693650E-01,3.191469E-01,1.145737E-01,2.190424E-01
-9.41787,38.40000,1.727782E-01,3.239497E-01,1.186172E-01,2.268060E-01
-9.41787,38.50000,1.742282E-01,3.256451E-01,1.208166E-01,2.301363E-01
-9.41787,38.60000,1.735988E-01,3.243330E-01,1.212124E-01,2.300155E-01
-9.41787,38.70000,1.719171E-01,3.219029E-01,1.206169E-01,2.278328E-01
-9.41787,38.80000,1.697724E-01,3.179145E-01,1.192320E-01,2.250966E-01
-9.41787,38.90000,1.658311E-01,3.107043E-01,1.163035E-01,2.200911E-01
-9.41787,39.00000,1.578182E-01,3.008547E-01,1.108620E-01,2.098113E-01
-9.41787,39.10000,1.450310E-01,2.933046E-01,1.027824E-01,1.963805E-01
-9.41787,39.20000,1.355838E-01,2.883609E-01,9.638724E-02,1.912860E-01
-9.41787,39.30000,1.297374E-01,2.788698E-01,9.134523E-02,1.847298E-01
-9.41787,39.40000,1.239395E-01,2.675504E-01,8.681703E-02,1.769266E-01
-9.41787,39.50000,1.155044E-01,2.554662E-01,8.041070E-02,1.682483E-01
-9.41787,39.60000,1.117413E-01,2.444558E-01,7.724588E-02,1.584099E-01
-9.31787,38.20000,1.632252E-01,3.086083E-01,1.117103E-01,2.127315E-01
-9.31787,38.30000,1.713320E-01,3.228805E-01,1.179631E-01,2.258032E-01
-9.31787,38.40000,1.755091E-01,3.290843E-01,1.217298E-01,2.321769E-01
-9.31787,38.50000,1.773952E-01,3.313927E-01,1.237651E-01,2.348437E-01
-9.31787,38.60000,1.774264E-01,3.317493E-01,1.242803E-01,2.349285E-01
-9.31787,38.70000,1.763242E-01,3.307541E-01,1.238125E-01,2.335450E-01
-9.31787,38.80000,1.744614E-01,3.276252E-01,1.225559E-01,2.313280E-01
-9.31787,38.90000,1.710140E-01,3.317389E-01,1.200426E-01,2.269867E-01
-9.31787,39.00000,1.643097E-01,3.329888E-01,1.154869E-01,2.222657E-01
-9.31787,39.10000,1.523807E-01,3.299073E-01,1.078316E-01,2.194088E-01
-9.31787,39.20000,1.431804E-01,3.237132E-01,1.014416E-01,2.158841E-01
-9.31787,39.30000,1.373664E-01,3.123184E-01,9.690005E-02,2.091182E-01
-9.31787,39.40000,1.308447E-01,2.970358E-01,9.210534E-02,1.986164E-01
-9.31787,39.50000,1.211043E-01,2.795603E-01,8.547873E-02,1.850607E-01
-9.31787,39.60000,1.166482E-01,2.623599E-01,8.206709E-02,1.729421E-01
-9.31787,39.70000,1.119743E-01,2.476214E-01,7.870428E-02,1.620056E-01
-9.31787,39.80000,1.077161E-01,2.362130E-01,7.524895E-02,1.519195E-01
-9.21787,36.90000,2.285337E-01,4.428415E-01,1.762076E-01,3.422646E-01
-9.21787,37.00000,2.021394E-01,3.899629E-01,1.572079E-01,2.954002E-01
-9.21787,37.10000,1.802169E-01,3.652512E-01,1.404510E-01,2.627674E-01
-9.21787,37.20000,1.671341E-01,3.457182E-01,1.290015E-01,2.472993E-01
-9.21787,38.20000,1.641546E-01,3.109226E-01,1.134173E-01,2.157713E-01
-9.21787,38.30000,1.726896E-01,3.259217E-01,1.195044E-01,2.284352E-01
-9.21787,38.40000,1.771381E-01,3.322808E-01,1.232304E-01,2.344454E-01
-9.21787,38.50000,1.792553E-01,3.345214E-01,1.252637E-01,2.368417E-01
-9.21787,38.60000,1.797760E-01,3.362227E-01,1.259783E-01,2.373942E-01
-9.21787,38.70000,1.792835E-01,3.363140E-01,1.258380E-01,2.368534E-01
-9.21787,38.80000,1.777955E-01,3.599150E-01,1.248446E-01,2.421706E-01
-9.21787,38.90000,1.746994E-01,3.772816E-01,1.225746E-01,2.529423E-01
-9.21787,39.00000,1.692547E-01,3.782504E-01,1.190342E-01,2.535529E-01
-9.21787,39.10000,1.582185E-01,3.708085E-01,1.117840E-01,2.491001E-01
-9.21787,39.20000,1.499259E-01,3.621893E-01,1.062826E-01,2.446039E-01
-9.21787,39.30000,1.450242E-01,3.530917E-01,1.025048E-01,2.399372E-01
-9.21787,39.40000,1.383221E-01,3.387158E-01,9.762733E-02,2.280424E-01
-9.21787,39.50000,1.282727E-01,3.131522E-01,9.112182E-02,2.092508E-01
-9.21787,39.60000,1.225205E-01,2.877422E-01,8.691691E-02,1.901698E-01
-9.21787,39.70000,1.178160E-01,2.678519E-01,8.330244E-02,1.759621E-01
-9.21787,39.80000,1.132930E-01,2.526959E-01,8.023030E-02,1.652245E-01
-9.21787,39.90000,1.084600E-01,2.395875E-01,7.648802E-02,1.538862E-01
-9.21787,40.00000,1.046815E-01,2.264242E-01,7.292230E-02,1.444175E-01
-9.11787,36.90000,2.087746E-01,4.111463E-01,1.616373E-01,3.055156E-01
-9.11787,37.00000,1.923497E-01,3.842388E-01,1.482610E-01,2.726871E-01
-9.11787,37.10000,1.773275E-01,3.665143E-01,1.357028E-01,2.559260E-01
-9.11787,37.20000,1.674101E-01,3.476938E-01,1.274922E-01,2.424065E-01
-9.11787,37.30000,1.582753E-01,3.245066E-01,1.203607E-01,2.255029E-01
-9.11787,37.40000,1.510517E-01,3.062771E-01,1.145959E-01,2.115613E-01
-9.11787,37.80000,1.380127E-01,2.687114E-01,9.944949E-02,1.821348E-01
-9.11787,37.90000,1.397283E-01,2.688417E-01,9.966192E-02,1.823887E-01
-9.11787,38.00000,1.433810E-01,2.741632E-01,1.013376E-01,1.868229E-01
-9.11787,38.10000,1.505059E-01,2.868815E-01,1.053288E-01,1.972039E-01
-9.11787,38.20000,1.640707E-01,3.113217E-01,1.135064E-01,2.156795E-01
-9.11787,38.30000,1.728000E-01,3.265438E-01,1.196046E-01,2.283933E-01
-9.11787,38.40000,1.772194E-01,3.326161E-01,1.232319E-01,2.340959E-01
-9.11787,38.50000,1.795767E-01,3.349635E-01,1.253939E-01,2.366589E-01
-9.11787,38.60000,1.804591E-01,3.377315E-01,1.263430E-01,2.376361E-01
-9.11787,38.70000,1.804205E-01,3.633673E-01,1.265321E-01,2.448350E-01
-9.11787,38.80000,1.795492E-01,4.135222E-01,1.260810E-01,2.820914E-01
-9.11787,38.90000,1.793819E-01,4.459164E-01,1.263828E-01,3.030248E-01
-9.11787,39.00000,1.742326E-01,4.451602E-01,1.231444E-01,3.013355E-01
-9.11787,39.10000,1.618738E-01,4.194020E-01,1.146602E-01,2.844035E-01
-9.11787,39.20000,1.570292E-01,3.990304E-01,1.118088E-01,2.713838E-01
-9.11787,39.30000,1.523208E-01,3.900945E-01,1.080939E-01,2.671197E-01
-9.11787,39.40000,1.456744E-01,3.759830E-01,1.032292E-01,2.573021E-01
-9.11787,39.50000,1.360958E-01,3.517699E-01,9.697574E-02,2.372184E-01
-9.11787,39.60000,1.293100E-01,3.205372E-01,9.203878E-02,2.131521E-01
-9.11787,39.70000,1.239736E-01,2.947490E-01,8.806683E-02,1.934860E-01
-9.11787,39.80000,1.192653E-01,2.732079E-01,8.438230E-02,1.782275E-01
-9.11787,39.90000,1.140966E-01,2.556897E-01,8.091111E-02,1.660904E-01
-9.11787,40.00000,1.086840E-01,2.416525E-01,7.718154E-02,1.546866E-01
-9.11787,40.10000,1.049195E-01,2.295367E-01,7.368560E-02,1.459282E-01
-9.11787,40.20000,1.016499E-01,2.196815E-01,7.074840E-02,1.393920E-01
-9.11787,40.30000,9.863602E-02,2.119784E-01,6.816883E-02,1.343588E-01
-9.11787,40.40000,9.567273E-02,2.051433E-01,6.577957E-02,1.299850E-01
-9.11787,41.60000,6.720987E-02,1.519806E-01,4.364855E-02,9.730214E-02
-9.11787,41.70000,6.744687E-02,1.487852E-01,4.448545E-02,9.945223E-02
-9.11787,41.80000,6.792438E-02,1.480813E-01,4.539463E-02,1.016661E-01
-9.11787,41.90000,6.853756E-02,1.485919E-01,4.627967E-02,1.036442E-01
-9.11787,42.00000,6.921171E-02,1.494694E-01,4.705237E-02,1.051783E-01
-9.11787,42.10000,6.973993E-02,1.501431E-01,4.769062E-02,1.062284E-01
-9.11787,42.20000,7.039709E-02,1.511489E-01,4.832602E-02,1.073781E-01
-9.01787,36.90000,1.988730E-01,4.006611E-01,1.517781E-01,2.775772E-01
-9.01787,37.00000,1.879168E-01,3.848296E-01,1.407674E-01,2.617599E-01
-9.01787,37.10000,1.772997E-01,3.683647E-01,1.327807E-01,2.507244E-01
-9.01787,37.20000,1.677721E-01,3.493139E-01,1.259370E-01,2.380441E-01
-9.01787,37.30000,1.588339E-01,3.263324E-01,1.191346E-01,2.213988E-01
-9.01787,37.40000,1.516953E-01,3.084218E-01,1.135327E-01,2.087233E-01
-9.01787,37.50000,1.460425E-01,2.948985E-01,1.081012E-01,1.989717E-01
-9.01787,37.60000,1.412052E-01,2.828068E-01,1.034941E-01,1.904928E-01
-9.01787,37.70000,1.377505E-01,2.728107E-01,9.994018E-02,1.833481E-01
-9.01787,37.80000,1.370376E-01,2.679321E-01,9.836906E-02,1.797743E-01
