#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T18:32:41', checksum=2193952283, kind='mean', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.002105~SA(2.0),0.002105~SA(3.0),0.002105~SA(4.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0),0.000404~SA(2.0),0.000404~SA(3.0),0.000404~SA(4.0)
-9.61787,39.00000,1.474077E-01,1.926504E-01,2.967863E-01,3.239473E-01,3.073592E-01,2.665174E-01,2.194825E-01,1.891287E-01,1.686046E-01,1.447797E-01,1.193108E-01,9.730793E-02,6.875928E-02,3.209906E-02,1.931992E-02,1.425337E-02,2.938829E-01,3.864408E-01,6.012689E-01,6.627065E-01,6.269619E-01,5.419689E-01,4.417836E-01,3.770873E-01,3.303002E-01,2.783906E-01,2.298617E-01,1.882114E-01,1.350935E-01,6.423068E-02,3.922616E-02,2.922792E-02
-9.61787,39.10000,1.317143E-01,1.721059E-01,2.633347E-01,2.864886E-01,2.740949E-01,2.407306E-01,1.985247E-01,1.733651E-01,1.557579E-01,1.358035E-01,1.124213E-01,9.255137E-02,6.555862E-02,3.091321E-02,1.871126E-02,1.386786E-02,2.627871E-01,3.461500E-01,5.355544E-01,5.879025E-01,5.607231E-01,4.894456E-01,4.008169E-01,3.466136E-01,3.057721E-01,2.598944E-01,2.172128E-01,1.787304E-01,1.290727E-01,6.195313E-02,3.799541E-02,2.844851E-02
-9.61787,39.20000,1.204067E-01,1.571201E-01,2.393103E-01,2.597438E-01,2.500332E-01,2.203365E-01,1.829886E-01,1.613992E-01,1.458640E-01,1.278353E-01,1.068256E-01,8.816978E-02,6.279793E-02,2.975945E-02,1.813399E-02,1.349036E-02,2.421811E-01,3.162921E-01,4.907620E-01,5.386662E-01,5.164676E-01,4.499332E-01,3.725701E-01,3.229469E-01,2.875845E-01,2.459581E-01,2.072562E-01,1.709576E-01,1.239702E-01,5.975041E-02,3.685538E-02,2.770984E-02
-9.61787,39.30000,1.147634E-01,1.488341E-01,2.270965E-01,2.467344E-01,2.378984E-01,2.090863E-01,1.744604E-01,1.539741E-01,1.398060E-01,1.225855E-01,1.028971E-01,8.488540E-02,6.063298E-02,2.878072E-02,1.762217E-02,1.314819E-02,2.345155E-01,3.056392E-01,4.738021E-01,5.215034E-01,5.000647E-01,4.342470E-01,3.603208E-01,3.114506E-01,2.771813E-01,2.376177E-01,2.006526E-01,1.653156E-01,1.200455E-01,5.788859E-02,3.584091E-02,2.703487E-02
-9.61787,39.40000,1.100169E-01,1.426925E-01,2.175441E-01,2.370872E-01,2.281459E-01,2.001702E-01,1.674529E-01,1.473850E-01,1.341781E-01,1.179298E-01,9.933114E-02,8.186157E-02,5.861204E-02,2.785967E-02,1.714028E-02,1.282989E-02,2.297089E-01,2.996769E-01,4.647160E-01,5.119397E-01,4.887648E-01,4.238006E-01,3.514896E-01,3.026535E-01,2.688044E-01,2.304320E-01,1.939924E-01,1.601480E-01,1.163766E-01,5.613147E-02,3.487882E-02,2.639870E-02
-9.61787,39.50000,1.052358E-01,1.365098E-01,2.079297E-01,2.267411E-01,2.175987E-01,1.912026E-01,1.603591E-01,1.407880E-01,1.282832E-01,1.133335E-01,9.580871E-02,7.890625E-02,5.663075E-02,2.696346E-02,1.667288E-02,1.252310E-02,2.256470E-01,2.946114E-01,4.570419E-01,5.039149E-01,4.791215E-01,4.147185E-01,3.435769E-01,2.946724E-01,2.611097E-01,2.237132E-01,1.876725E-01,1.552608E-01,1.125696E-01,5.445917E-02,3.396453E-02,2.579798E-02
-9.51787,38.50000,1.721729E-01,2.261251E-01,3.492848E-01,3.787119E-01,3.595330E-01,3.104956E-01,2.540455E-01,2.196641E-01,1.958410E-01,1.658850E-01,1.376855E-01,1.105476E-01,7.900127E-02,3.609027E-02,2.176548E-02,1.587655E-02,3.331686E-01,4.363200E-01,6.819190E-01,7.534771E-01,7.131706E-01,6.116319E-01,5.017057E-01,4.258612E-01,3.745746E-01,3.161957E-01,2.623147E-01,2.144742E-01,1.547379E-01,7.237524E-02,4.416794E-02,3.245165E-02
-9.51787,38.60000,1.715453E-01,2.252853E-01,3.481464E-01,3.774667E-01,3.585069E-01,3.094659E-01,2.530311E-01,2.182163E-01,1.940025E-01,1.638700E-01,1.356624E-01,1.088442E-01,7.758945E-02,3.544901E-02,2.133417E-02,1.557283E-02,3.301807E-01,4.326322E-01,6.758505E-01,7.473874E-01,7.071152E-01,6.070799E-01,4.979966E-01,4.222533E-01,3.705808E-01,3.119386E-01,2.580145E-01,2.108060E-01,1.516660E-01,7.093687E-02,4.330200E-02,3.185177E-02
-9.51787,38.70000,1.690886E-01,2.216712E-01,3.431221E-01,3.718508E-01,3.535346E-01,3.049065E-01,2.495277E-01,2.146998E-01,1.905618E-01,1.608790E-01,1.329035E-01,1.067481E-01,7.592431E-02,3.475850E-02,2.089474E-02,1.527583E-02,3.239365E-01,4.247214E-01,6.628625E-01,7.344179E-01,6.940165E-01,5.971205E-01,4.897054E-01,4.155762E-01,3.642935E-01,3.063933E-01,2.528707E-01,2.067256E-01,1.483690E-01,6.948489E-02,4.245676E-02,3.127850E-02
-9.51787,38.80000,1.670240E-01,2.186336E-01,3.387148E-01,3.671851E-01,3.492014E-01,3.007252E-01,2.462065E-01,2.112993E-01,1.872044E-01,1.579209E-01,1.301396E-01,1.046183E-01,7.421786E-02,3.404202E-02,2.043616E-02,1.496125E-02,3.206229E-01,4.205751E-01,6.562177E-01,7.266657E-01,6.866803E-01,5.909938E-01,4.841591E-01,4.106737E-01,3.593017E-01,3.015406E-01,2.481554E-01,2.028318E-01,1.451771E-01,6.805226E-02,4.153972E-02,3.070668E-02
-9.51787,38.90000,1.635042E-01,2.137107E-01,3.308856E-01,3.595575E-01,3.420837E-01,2.939633E-01,2.410242E-01,2.063284E-01,1.826212E-01,1.541988E-01,1.268041E-01,1.021524E-01,7.228361E-02,3.327178E-02,1.996128E-02,1.464598E-02,3.159938E-01,4.147785E-01,6.470104E-01,7.157491E-01,6.761248E-01,5.819622E-01,4.759875E-01,4.037064E-01,3.526320E-01,2.955974E-01,2.425996E-01,1.981673E-01,1.416205E-01,6.652736E-02,4.054113E-02,3.003526E-02
-9.51787,39.00000,1.540018E-01,2.013293E-01,3.108178E-01,3.398741E-01,3.218719E-01,2.779679E-01,2.289526E-01,1.960443E-01,1.739432E-01,1.479832E-01,1.216588E-01,9.864591E-02,6.966483E-02,3.231971E-02,1.940494E-02,1.428670E-02,3.020737E-01,3.969868E-01,6.182356E-01,6.823238E-01,6.454229E-01,5.572554E-01,4.550520E-01,3.873957E-01,3.386540E-01,2.843853E-01,2.338218E-01,1.909191E-01,1.367961E-01,6.466641E-02,3.939778E-02,2.929007E-02
-9.51787,39.10000,1.373046E-01,1.795378E-01,2.753330E-01,2.999427E-01,2.863463E-01,2.504559E-01,2.064220E-01,1.791412E-01,1.601575E-01,1.386218E-01,1.142742E-01,9.374973E-02,6.624421E-02,3.108379E-02,1.875277E-02,1.386776E-02,2.691044E-01,3.544583E-01,5.488884E-01,6.030355E-01,5.749975E-01,5.027273E-01,4.110863E-01,3.546676E-01,3.122209E-01,2.643545E-01,2.201497E-01,1.806886E-01,1.303218E-01,6.229950E-02,3.809369E-02,2.846144E-02
-9.51787,39.20000,1.253495E-01,1.638835E-01,2.500289E-01,2.716002E-01,2.608002E-01,2.299967E-01,1.897801E-01,1.663591E-01,1.495732E-01,1.302640E-01,1.083129E-01,8.911178E-02,6.333431E-02,2.989153E-02,1.816742E-02,1.349348E-02,2.472092E-01,3.239029E-01,5.027102E-01,5.506946E-01,5.278407E-01,4.606403E-01,3.806756E-01,3.301148E-01,2.930050E-01,2.492617E-01,2.094267E-01,1.723496E-01,1.248747E-01,5.998594E-02,3.691430E-02,2.770907E-02
-9.51787,39.30000,1.194151E-01,1.558590E-01,2.377934E-01,2.578339E-01,2.478871E-01,2.178262E-01,1.805987E-01,1.589014E-01,1.430931E-01,1.246591E-01,1.041394E-01,8.564465E-02,6.105522E-02,2.887988E-02,1.764758E-02,1.315350E-02,2.397790E-01,3.131953E-01,4.861761E-01,5.333905E-01,5.109149E-01,4.439753E-01,3.674737E-01,3.175292E-01,2.818880E-01,2.401607E-01,2.022560E-01,1.662231E-01,1.206283E-01,5.800237E-02,3.584863E-02,2.701066E-02
-9.51787,39.40000,1.150233E-01,1.494279E-01,2.285638E-01,2.478283E-01,2.382383E-01,2.085070E-01,1.733284E-01,1.521284E-01,1.376698E-01,1.198335E-01,1.004563E-01,8.252358E-02,5.897361E-02,2.793493E-02,1.715517E-02,1.282893E-02,2.348889E-01,3.067150E-01,4.762596E-01,5.229297E-01,5.000507E-01,4.325446E-01,3.578880E-01,3.079525E-01,2.728267E-01,2.324770E-01,1.953828E-01,1.607305E-01,1.167492E-01,5.615154E-02,3.484049E-02,2.634607E-02
-9.51787,39.50000,1.078151E-01,1.400249E-01,2.137066E-01,2.330145E-01,2.232382E-01,1.954714E-01,1.634044E-01,1.431308E-01,1.299212E-01,1.140632E-01,9.618278E-02,7.903854E-02,5.669037E-02,2.693594E-02,1.664352E-02,1.249415E-02,2.251957E-01,2.944579E-01,4.568906E-01,5.031117E-01,4.780404E-01,4.137636E-01,3.430263E-01,2.940675E-01,2.604818E-01,2.229017E-01,1.868997E-01,1.545575E-01,1.121034E-01,5.421874E-02,3.381383E-02,2.568001E-02
-9.51787,39.60000,1.002403E-01,1.301445E-01,1.979570E-01,2.153850E-01,2.068330E-01,1.821416E-01,1.526659E-01,1.340778E-01,1.221579E-01,1.083150E-01,9.152723E-02,7.561295E-02,5.425833E-02,2.595621E-02,1.611345E-02,1.215837E-02,2.122328E-01,2.777814E-01,4.300195E-01,4.726597E-01,4.495644E-01,3.906658E-01,3.233404E-01,2.782380E-01,2.468554E-01,2.127351E-01,1.782407E-01,1.483823E-01,1.072714E-01,5.234107E-02,3.281889E-02,2.503191E-02
-9.41787,38.20000,1.600377E-01,2.082985E-01,3.208319E-01,3.497958E-01,3.331062E-01,2.895385E-01,2.410293E-01,2.112595E-01,1.916589E-01,1.660604E-01,1.393082E-01,1.132319E-01,8.144135E-02,3.757886E-02,2.277544E-02,1.659211E-02,3.146385E-01,4.120321E-01,6.418163E-01,7.103066E-01,6.715396E-01,5.803972E-01,4.787906E-01,4.128569E-01,3.690494E-01,3.190693E-01,2.684408E-01,2.217855E-01,1.616767E-01,7.613195E-02,4.655249E-02,3.412643E-02
-9.41787,38.30000,1.712884E-01,2.245803E-01,3.469258E-01,3.759601E-01,3.570874E-01,3.088505E-01,2.536974E-01,2.206574E-01,1.979672E-01,1.687875E-01,1.404188E-01,1.133101E-01,8.117140E-02,3.717568E-02,2.247298E-02,1.636180E-02,3.328967E-01,4.358133E-01,6.810411E-01,7.524922E-01,7.118151E-01,6.107901E-01,5.020019E-01,4.280304E-01,3.788016E-01,3.223302E-01,2.691482E-01,2.206388E-01,1.600935E-01,7.492743E-02,4.570711E-02,3.350585E-02
-9.41787,38.40000,1.761958E-01,2.322240E-01,3.577615E-01,3.881530E-01,3.680100E-01,3.182066E-01,2.597357E-01,2.249143E-01,2.003956E-01,1.693236E-01,1.402293E-01,1.126054E-01,8.050003E-02,3.667607E-02,2.210798E-02,1.608761E-02,3.393414E-01,4.442513E-01,6.948570E-01,7.661902E-01,7.265912E-01,6.222993E-01,5.098401E-01,4.335041E-01,3.816007E-01,3.219168E-01,2.674725E-01,2.183407E-01,1.578539E-01,7.362944E-02,4.485624E-02,3.289283E-02
-9.41787,38.50000,1.777592E-01,2.343436E-01,3.612455E-01,3.921722E-01,3.717459E-01,3.214360E-01,2.616991E-01,2.259579E-01,2.004892E-01,1.685197E-01,1.392497E-01,1.114406E-01,7.953690E-02,3.614024E-02,2.173094E-02,1.581981E-02,3.407637E-01,4.461442E-01,6.979122E-01,7.693183E-01,7.302424E-01,6.253080E-01,5.118324E-01,4.344155E-01,3.811232E-01,3.198019E-01,2.647306E-01,2.155777E-01,1.553924E-01,7.235412E-02,4.405461E-02,3.232827E-02
-9.41787,38.60000,1.767541E-01,2.330748E-01,3.591980E-01,3.900052E-01,3.700036E-01,3.198666E-01,2.603848E-01,2.243249E-01,1.986276E-01,1.665121E-01,1.375319E-01,1.098210E-01,7.820711E-02,3.555123E-02,2.134353E-02,1.555392E-02,3.375807E-01,4.420681E-01,6.911445E-01,7.628289E-01,7.240129E-01,6.208904E-01,5.087811E-01,4.313518E-01,3.777575E-01,3.161642E-01,2.610555E-01,2.124227E-01,1.527625E-01,7.110830E-02,4.330146E-02,3.180653E-02
-9.41787,38.70000,1.744922E-01,2.298418E-01,3.544765E-01,3.848058E-01,3.655015E-01,3.158315E-01,2.573678E-01,2.213122E-01,1.956612E-01,1.639075E-01,1.351224E-01,1.079838E-01,7.674531E-02,3.494015E-02,2.095376E-02,1.529103E-02,3.322529E-01,4.352324E-01,6.798859E-01,7.518430E-01,7.130831E-01,6.127967E-01,5.031270E-01,4.261914E-01,3.728563E-01,3.117117E-01,2.568798E-01,2.090582E-01,1.500464E-01,6.988426E-02,4.257938E-02,3.131225E-02
-9.41787,38.80000,1.727771E-01,2.272822E-01,3.510045E-01,3.809353E-01,3.619565E-01,3.124343E-01,2.546946E-01,2.185352E-01,1.928569E-01,1.613683E-01,1.327239E-01,1.061210E-01,7.524630E-02,3.430966E-02,2.055242E-02,1.502091E-02,3.297357E-01,4.320473E-01,6.747790E-01,7.467581E-01,7.076389E-01,6.083161E-01,4.996194E-01,4.226366E-01,3.691024E-01,3.078432E-01,2.530284E-01,2.058068E-01,1.473696E-01,6.865726E-02,4.181228E-02,3.081768E-02
-9.41787,38.90000,1.698466E-01,2.229064E-01,3.450817E-01,3.742135E-01,3.556330E-01,3.063295E-01,2.499875E-01,2.139578E-01,1.885921E-01,1.578600E-01,1.295516E-01,1.037573E-01,7.338493E-02,3.356011E-02,2.008689E-02,1.470783E-02,3.260636E-01,4.274638E-01,6.675464E-01,7.393538E-01,6.992195E-01,6.009943E-01,4.928961E-01,4.168227E-01,3.634240E-01,3.026348E-01,2.480725E-01,2.018163E-01,1.441371E-01,6.725159E-02,4.088331E-02,3.020521E-02
-9.41787,39.00000,1.616313E-01,2.112743E-01,3.269647E-01,3.559522E-01,3.387419E-01,2.911874E-01,2.389441E-01,2.041218E-01,1.802457E-01,1.518431E-01,1.245389E-01,1.003264E-01,7.081561E-02,3.262316E-02,1.953883E-02,1.435367E-02,3.131813E-01,4.110731E-01,6.410161E-01,7.092558E-01,6.707292E-01,5.780684E-01,4.732860E-01,4.015470E-01,3.502565E-01,2.927492E-01,2.396656E-01,1.951035E-01,1.394729E-01,6.544389E-02,3.976836E-02,2.947712E-02
