lat,lon,region,vs30,vs30measured,xvf,z1pt0,z2pt5
38.7223,-9.1393,5,800,TRUE,150,31.07,0.57
41.1579,-8.6291,5,800,TRUE,150,31.07,0.57
37.0833,-8.9117,5,800,TRUE,150,31.07,0.57
