#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:08:17', checksum=2606410892, kind='quantile-0.95', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0)
-9.61787,39.20000,1.417728E-01,2.551372E-01,2.799703E-01,2.816327E-01,2.817841E-01,2.532259E-01,2.270876E-01,2.058251E-01,1.897719E-01,1.527064E-01,1.355096E-01,1.072126E-01,8.758431E-02,3.005300E-01,5.203642E-01,5.824114E-01,6.424438E-01,6.686474E-01,5.870714E-01,4.652752E-01,4.046871E-01,3.794899E-01,2.804676E-01,2.493082E-01,2.031964E-01,1.743607E-01
-9.61787,39.30000,1.409033E-01,2.473845E-01,2.778796E-01,2.785205E-01,2.828032E-01,2.519818E-01,2.199489E-01,1.994519E-01,1.863940E-01,1.487880E-01,1.300088E-01,1.037972E-01,8.475729E-02,2.994611E-01,5.269306E-01,5.836292E-01,6.460090E-01,6.741809E-01,5.899824E-01,4.657492E-01,3.930584E-01,3.652128E-01,2.773880E-01,2.446868E-01,1.990000E-01,1.707812E-01
-9.61787,39.40000,1.391009E-01,2.391677E-01,2.722028E-01,2.721557E-01,2.798021E-01,2.494344E-01,2.126087E-01,1.883426E-01,1.746562E-01,1.382849E-01,1.178124E-01,9.497342E-02,7.570959E-02,2.952264E-01,5.289907E-01,5.820110E-01,6.428822E-01,6.698387E-01,5.919098E-01,4.644736E-01,3.884533E-01,3.443648E-01,2.572924E-01,2.243925E-01,1.837475E-01,1.490632E-01
-9.61787,39.50000,1.377399E-01,2.381562E-01,2.705494E-01,2.732675E-01,2.842610E-01,2.525540E-01,2.110666E-01,1.854476E-01,1.692106E-01,1.334249E-01,1.156175E-01,9.217521E-02,7.383689E-02,2.932118E-01,5.378284E-01,5.831217E-01,7.704641E-01,8.319210E-01,6.987255E-01,5.059508E-01,3.888439E-01,3.416763E-01,2.533130E-01,2.205906E-01,1.779285E-01,1.444664E-01
-9.51787,38.50000,1.724267E-01,2.965487E-01,3.636380E-01,3.776520E-01,3.519778E-01,3.260157E-01,2.923474E-01,2.676776E-01,2.467007E-01,2.037465E-01,1.786507E-01,1.444076E-01,1.208717E-01,3.248186E-01,5.665246E-01,6.881137E-01,6.967877E-01,6.464331E-01,5.999888E-01,5.457757E-01,5.084133E-01,4.771734E-01,3.751099E-01,3.365275E-01,2.800258E-01,2.442399E-01
-9.51787,38.60000,1.704772E-01,2.951972E-01,3.615612E-01,3.705854E-01,3.468440E-01,3.198162E-01,2.882216E-01,2.636407E-01,2.426820E-01,2.005648E-01,1.753962E-01,1.427916E-01,1.188382E-01,3.206627E-01,5.610195E-01,6.710674E-01,6.743639E-01,6.288416E-01,5.877168E-01,5.384606E-01,5.000247E-01,4.717709E-01,3.697090E-01,3.336893E-01,2.745522E-01,2.389928E-01
-9.51787,38.70000,1.683801E-01,2.908446E-01,3.565973E-01,3.624368E-01,3.400344E-01,3.134882E-01,2.850618E-01,2.601099E-01,2.398243E-01,1.981236E-01,1.734330E-01,1.406148E-01,1.153894E-01,3.145039E-01,5.508286E-01,6.484422E-01,6.554872E-01,6.126490E-01,5.734586E-01,5.277866E-01,4.910254E-01,4.662044E-01,3.643643E-01,3.292077E-01,2.697211E-01,2.317045E-01
-9.51787,38.80000,1.644502E-01,2.845397E-01,3.482378E-01,3.536108E-01,3.314153E-01,3.047502E-01,2.768975E-01,2.517903E-01,2.335652E-01,1.906623E-01,1.667010E-01,1.366017E-01,1.127501E-01,3.086986E-01,5.458906E-01,6.431342E-01,6.457216E-01,6.012443E-01,5.631477E-01,5.176821E-01,4.875798E-01,4.585612E-01,3.526582E-01,3.184192E-01,2.629847E-01,2.234480E-01
-9.51787,38.90000,1.599762E-01,2.752829E-01,3.374492E-01,3.429323E-01,3.209675E-01,2.952954E-01,2.668182E-01,2.419138E-01,2.251790E-01,1.833548E-01,1.589652E-01,1.306087E-01,1.052968E-01,3.029057E-01,5.384201E-01,6.339617E-01,6.380735E-01,5.886403E-01,5.480838E-01,5.098127E-01,4.693426E-01,4.442815E-01,3.388192E-01,3.049716E-01,2.538222E-01,2.109418E-01
-9.51787,39.00000,1.517854E-01,2.617371E-01,3.161875E-01,3.232819E-01,3.033370E-01,2.805896E-01,2.532326E-01,2.299894E-01,2.153766E-01,1.725233E-01,1.512038E-01,1.233792E-01,9.915438E-02,2.937667E-01,5.325418E-01,6.119519E-01,6.189041E-01,5.635527E-01,5.248006E-01,4.901607E-01,4.540270E-01,4.283608E-01,3.207153E-01,2.895741E-01,2.392483E-01,2.003396E-01
