#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:08:17', checksum=2606410892, kind='quantile-0.05', investigation_time=1.0"
lon,lat,PGA-0.002105,PGA-0.000404,SA(0.05)-0.002105,SA(0.05)-0.000404,SA(0.1)-0.002105,SA(0.1)-0.000404,SA(0.15)-0.002105,SA(0.15)-0.000404,SA(0.2)-0.002105,SA(0.2)-0.000404,SA(0.25)-0.002105,SA(0.25)-0.000404,SA(0.3)-0.002105,SA(0.3)-0.000404,SA(0.35)-0.002105,SA(0.35)-0.000404,SA(0.4)-0.002105,SA(0.4)-0.000404,SA(0.5)-0.002105,SA(0.5)-0.000404,SA(0.6)-0.002105,SA(0.6)-0.000404,SA(0.75)-0.002105,SA(0.75)-0.000404,SA(1.0)-0.002105,SA(1.0)-0.000404
-9.61787,39.20000,8.583666E-02,1.740876E-01,1.088682E-01,2.266579E-01,1.294724E-01,2.661666E-01,1.877371E-01,3.809074E-01,1.796560E-01,3.536095E-01,1.588696E-01,3.087013E-01,1.365856E-01,2.686794E-01,1.200358E-01,2.366057E-01,1.059109E-01,2.080607E-01,8.707135E-02,1.690346E-01,7.275480E-02,1.437119E-01,5.497602E-02,1.075340E-01,3.696744E-02,7.533012E-02
-9.61787,39.30000,8.397636E-02,1.709629E-01,1.064728E-01,2.199859E-01,1.227908E-01,2.621633E-01,1.849358E-01,3.690200E-01,1.740912E-01,3.433310E-01,1.521127E-01,3.006575E-01,1.307918E-01,2.616605E-01,1.154831E-01,2.279704E-01,1.025385E-01,2.022526E-01,8.397253E-02,1.636464E-01,7.013983E-02,1.393023E-01,5.307765E-02,1.051138E-01,3.588364E-02,7.410257E-02
-9.61787,39.40000,8.090311E-02,1.685086E-01,1.027317E-01,2.167598E-01,1.192259E-01,2.532664E-01,1.804761E-01,3.619700E-01,1.664257E-01,3.348843E-01,1.464898E-01,2.927085E-01,1.259458E-01,2.539842E-01,1.115150E-01,2.206485E-01,9.737317E-02,1.934491E-01,7.966318E-02,1.574852E-01,6.660879E-02,1.341829E-01,5.023504E-02,1.011578E-01,3.384824E-02,7.095581E-02
-9.61787,39.50000,7.810468E-02,1.695722E-01,1.016297E-01,2.284658E-01,1.163796E-01,2.522053E-01,1.768535E-01,3.590872E-01,1.623558E-01,3.303831E-01,1.417873E-01,2.873429E-01,1.219749E-01,2.482630E-01,1.073954E-01,2.153593E-01,9.411914E-02,1.884656E-01,7.672766E-02,1.534943E-01,6.394999E-02,1.300763E-01,4.852892E-02,9.898761E-02,3.291988E-02,6.920148E-02
-9.51787,38.50000,9.073092E-02,1.935980E-01,1.216008E-01,2.668118E-01,1.401586E-01,2.766928E-01,2.090093E-01,4.217215E-01,2.017500E-01,4.039757E-01,1.788431E-01,3.598703E-01,1.581720E-01,3.114072E-01,1.385268E-01,2.729486E-01,1.226593E-01,2.412007E-01,1.011713E-01,1.988086E-01,8.448046E-02,1.631629E-01,6.524560E-02,1.252390E-01,4.619877E-02,9.166109E-02
-9.51787,38.60000,8.934062E-02,1.907534E-01,1.207428E-01,2.615685E-01,1.394829E-01,2.736788E-01,2.015243E-01,4.143999E-01,1.991348E-01,4.028777E-01,1.779819E-01,3.573893E-01,1.553329E-01,3.102688E-01,1.365869E-01,2.707081E-01,1.208700E-01,2.373777E-01,9.973406E-02,1.966067E-01,8.332828E-02,1.609649E-01,6.451437E-02,1.217778E-01,4.515245E-02,8.869184E-02
-9.51787,38.70000,8.782169E-02,1.873500E-01,1.194982E-01,2.611617E-01,1.375863E-01,2.758889E-01,2.011685E-01,4.158844E-01,1.963876E-01,3.999180E-01,1.748811E-01,3.539007E-01,1.522975E-01,3.054579E-01,1.346455E-01,2.661087E-01,1.183407E-01,2.334616E-01,9.687925E-02,1.935102E-01,8.231028E-02,1.596266E-01,6.373604E-02,1.191972E-01,4.413147E-02,8.653142E-02
-9.51787,38.80000,8.750803E-02,1.870419E-01,1.196299E-01,2.683362E-01,1.352044E-01,2.743725E-01,2.008990E-01,4.178819E-01,1.944339E-01,3.958305E-01,1.731658E-01,3.532352E-01,1.516327E-01,3.038567E-01,1.328127E-01,2.647733E-01,1.175048E-01,2.338945E-01,9.623438E-02,1.929294E-01,8.112343E-02,1.592031E-01,6.257851E-02,1.175551E-01,4.344640E-02,8.511820E-02
-9.51787,38.90000,8.769017E-02,1.877977E-01,1.196932E-01,2.619354E-01,1.350894E-01,2.743134E-01,2.015289E-01,4.144602E-01,1.946603E-01,3.935554E-01,1.734141E-01,3.536319E-01,1.506278E-01,3.055753E-01,1.319663E-01,2.673005E-01,1.171614E-01,2.359394E-01,9.510073E-02,1.911066E-01,7.950319E-02,1.583148E-01,6.009499E-02,1.168454E-01,4.200231E-02,8.229482E-02
-9.51787,39.00000,8.756394E-02,1.872400E-01,1.192620E-01,2.609068E-01,1.323365E-01,2.680481E-01,1.976961E-01,4.158275E-01,1.914969E-01,3.944421E-01,1.724160E-01,3.498963E-01,1.489702E-01,3.078966E-01,1.302583E-01,2.650619E-01,1.141887E-01,2.346466E-01,9.364981E-02,1.885588E-01,7.692652E-02,1.556308E-01,5.878076E-02,1.142673E-01,4.092433E-02,7.886318E-02
