#,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.25.0-git8d6ee50a21', start_date='2026-03-08T22:08:17', checksum=2606410892, kind='mean', investigation_time=1.0"
lon,lat,0.002105~PGA,0.002105~SA(0.05),0.002105~SA(0.1),0.002105~SA(0.15),0.002105~SA(0.2),0.002105~SA(0.25),0.002105~SA(0.3),0.002105~SA(0.35),0.002105~SA(0.4),0.002105~SA(0.5),0.002105~SA(0.6),0.002105~SA(0.75),0.002105~SA(1.0),0.000404~PGA,0.000404~SA(0.05),0.000404~SA(0.1),0.000404~SA(0.15),0.000404~SA(0.2),0.000404~SA(0.25),0.000404~SA(0.3),0.000404~SA(0.35),0.000404~SA(0.4),0.000404~SA(0.5),0.000404~SA(0.6),0.000404~SA(0.75),0.000404~SA(1.0)
-9.61787,39.20000,1.105902E-01,1.749279E-01,2.175144E-01,2.422244E-01,2.304314E-01,2.098123E-01,1.847706E-01,1.643446E-01,1.487640E-01,1.192748E-01,1.014716E-01,7.853752E-02,6.083855E-02,2.258182E-01,3.700536E-01,4.477915E-01,5.013210E-01,4.768144E-01,4.276668E-01,3.692492E-01,3.247781E-01,2.925442E-01,2.295877E-01,1.990504E-01,1.564133E-01,1.256072E-01
-9.61787,39.30000,1.079870E-01,1.709933E-01,2.125591E-01,2.379176E-01,2.259114E-01,2.056078E-01,1.808772E-01,1.607278E-01,1.454044E-01,1.162688E-01,9.890092E-02,7.634382E-02,5.928756E-02,2.226860E-01,3.654030E-01,4.430640E-01,4.985471E-01,4.742435E-01,4.243912E-01,3.649747E-01,3.195385E-01,2.873732E-01,2.253923E-01,1.947373E-01,1.527962E-01,1.228224E-01
-9.61787,39.40000,1.040080E-01,1.654192E-01,2.045712E-01,2.312088E-01,2.193831E-01,1.989384E-01,1.740954E-01,1.532987E-01,1.382695E-01,1.095603E-01,9.266505E-02,7.121895E-02,5.444957E-02,2.178514E-01,3.592017E-01,4.338496E-01,4.966986E-01,4.740805E-01,4.211450E-01,3.578225E-01,3.080806E-01,2.740716E-01,2.137455E-01,1.817828E-01,1.428150E-01,1.111497E-01
-9.61787,39.50000,1.022521E-01,1.625447E-01,2.010578E-01,2.283257E-01,2.162575E-01,1.957553E-01,1.709029E-01,1.498622E-01,1.349862E-01,1.066751E-01,8.982351E-02,6.904768E-02,5.271544E-02,2.195511E-01,3.611957E-01,4.368028E-01,5.096750E-01,4.868411E-01,4.299058E-01,3.612424E-01,3.080969E-01,2.718318E-01,2.106667E-01,1.781839E-01,1.395116E-01,1.081836E-01
-9.51787,38.50000,1.390084E-01,2.220737E-01,2.768480E-01,2.939218E-01,2.756609E-01,2.527877E-01,2.260219E-01,2.030973E-01,1.860006E-01,1.514845E-01,1.311489E-01,1.028801E-01,8.259118E-02,2.717107E-01,4.465746E-01,5.504469E-01,5.700716E-01,5.338016E-01,4.880100E-01,4.321773E-01,3.914474E-01,3.575953E-01,2.908285E-01,2.548823E-01,2.045113E-01,1.722570E-01
-9.51787,38.60000,1.370339E-01,2.186753E-01,2.723479E-01,2.881931E-01,2.705682E-01,2.487164E-01,2.228315E-01,2.006447E-01,1.838651E-01,1.498256E-01,1.294723E-01,1.015531E-01,8.118804E-02,2.676705E-01,4.389856E-01,5.396950E-01,5.566823E-01,5.212135E-01,4.765862E-01,4.246548E-01,3.860627E-01,3.531962E-01,2.864387E-01,2.510387E-01,2.017238E-01,1.693976E-01
-9.51787,38.70000,1.338416E-01,2.133507E-01,2.654164E-01,2.811181E-01,2.645731E-01,2.434633E-01,2.178407E-01,1.961417E-01,1.795833E-01,1.464086E-01,1.259429E-01,9.882151E-02,7.813126E-02,2.618757E-01,4.287839E-01,5.254523E-01,5.427017E-01,5.093194E-01,4.649628E-01,4.153782E-01,3.777668E-01,3.453861E-01,2.789478E-01,2.440745E-01,1.961994E-01,1.631043E-01
-9.51787,38.80000,1.318628E-01,2.101228E-01,2.612062E-01,2.767943E-01,2.607612E-01,2.399316E-01,2.142841E-01,1.928094E-01,1.763181E-01,1.436979E-01,1.231569E-01,9.661599E-02,7.579219E-02,2.594027E-01,4.245996E-01,5.194929E-01,5.367931E-01,5.042210E-01,4.594480E-01,4.105242E-01,3.730045E-01,3.405985E-01,2.739813E-01,2.393084E-01,1.919602E-01,1.583889E-01
-9.51787,38.90000,1.287278E-01,2.052831E-01,2.547175E-01,2.705303E-01,2.553866E-01,2.346548E-01,2.085346E-01,1.870856E-01,1.705438E-01,1.388768E-01,1.181887E-01,9.254430E-02,7.152181E-02,2.553480E-01,4.183994E-01,5.107775E-01,5.289376E-01,4.975449E-01,4.518590E-01,4.027057E-01,3.643567E-01,3.314571E-01,2.650560E-01,2.305571E-01,1.844011E-01,1.491154E-01
-9.51787,39.00000,1.240133E-01,1.974395E-01,2.450765E-01,2.611717E-01,2.471411E-01,2.265804E-01,2.010488E-01,1.802112E-01,1.640049E-01,1.331392E-01,1.131401E-01,8.829277E-02,6.792592E-02,2.487780E-01,4.073476E-01,4.969097E-01,5.160139E-01,4.845367E-01,4.398808E-01,3.914003E-01,3.533497E-01,3.206065E-01,2.550823E-01,2.215738E-01,1.765085E-01,1.414997E-01
-9.51787,39.10000,1.152364E-01,1.818411E-01,2.266572E-01,2.444734E-01,2.326977E-01,2.130536E-01,1.899625E-01,1.709343E-01,1.559261E-01,1.264352E-01,1.078307E-01,8.402202E-02,6.511661E-02,2.291185E-01,3.735693E-01,4.517424E-01,4.773917E-01,4.499608E-01,4.118598E-01,3.682148E-01,3.329139E-01,3.032350E-01,2.407089E-01,2.101466E-01,1.667922E-01,1.349557E-01
-9.51787,39.20000,1.085018E-01,1.715900E-01,2.131177E-01,2.329030E-01,2.212293E-01,2.029770E-01,1.811598E-01,1.630436E-01,1.486450E-01,1.200881E-01,1.025050E-01,7.960353E-02,6.161259E-02,2.168851E-01,3.549763E-01,4.271980E-01,4.545760E-01,4.303659E-01,3.945954E-01,3.525375E-01,3.164428E-01,2.892460E-01,2.288633E-01,1.998396E-01,1.579253E-01,1.271290E-01
-9.51787,39.30000,1.046152E-01,1.658770E-01,2.055669E-01,2.252712E-01,2.141458E-01,1.964217E-01,1.751374E-01,1.573480E-01,1.433182E-01,1.153625E-01,9.843310E-02,7.616910E-02,5.877533E-02,2.111392E-01,3.465875E-01,4.172935E-01,4.448272E-01,4.215264E-01,3.857600E-01,3.436683E-01,3.064114E-01,2.792803E-01,2.212552E-01,1.918665E-01,1.517532E-01,1.211476E-01
-9.51787,39.40000,1.008664E-01,1.605432E-01,1.982601E-01,2.182035E-01,2.077401E-01,1.900769E-01,1.688652E-01,1.503949E-01,1.370156E-01,1.095811E-01,9.318782E-02,7.184699E-02,5.492730E-02,2.057040E-01,3.391595E-01,4.079382E-01,4.373870E-01,4.154078E-01,3.783261E-01,3.339829E-01,2.950375E-01,2.671417E-01,2.112511E-01,1.810282E-01,1.433645E-01,1.119893E-01
-9.51787,39.50000,9.741953E-02,1.546464E-01,1.913831E-01,2.118789E-01,2.016807E-01,1.844750E-01,1.636897E-01,1.451139E-01,1.320697E-01,1.056624E-01,8.951422E-02,6.914439E-02,5.282026E-02,2.014163E-01,3.318178E-01,4.008144E-01,4.339619E-01,4.124092E-01,3.738113E-01,3.269839E-01,2.875135E-01,2.594599E-01,2.051585E-01,1.750363E-01,1.385112E-01,1.078733E-01
-9.51787,39.60000,9.383654E-02,1.480239E-01,1.840630E-01,2.055892E-01,1.956687E-01,1.790210E-01,1.587350E-01,1.401412E-01,1.273593E-01,1.018637E-01,8.595212E-02,6.651672E-02,5.074377E-02,1.971207E-01,3.237167E-01,3.920524E-01,4.344213E-01,4.133057E-01,3.721701E-01,3.216444E-01,2.805826E-01,2.518957E-01,1.986548E-01,1.688344E-01,1.330439E-01,1.037328E-01
-9.41787,38.20000,1.386215E-01,2.188535E-01,2.753390E-01,2.970019E-01,2.779430E-01,2.555447E-01,2.284833E-01,2.060037E-01,1.894922E-01,1.549783E-01,1.356402E-01,1.069160E-01,8.813668E-02,2.743301E-01,4.482994E-01,5.570953E-01,5.932795E-01,5.563304E-01,5.063954E-01,4.425990E-01,3.992497E-01,3.646727E-01,2.981443E-01,2.645924E-01,2.119090E-01,1.837283E-01
-9.41787,38.30000,1.406412E-01,2.235642E-01,2.798783E-01,2.979417E-01,2.788022E-01,2.559794E-01,2.293781E-01,2.067698E-01,1.900208E-01,1.551338E-01,1.352755E-01,1.063469E-01,8.664469E-02,2.753606E-01,4.515910E-01,5.589684E-01,5.816787E-01,5.439398E-01,4.977229E-01,4.394305E-01,3.984230E-01,3.646187E-01,2.976147E-01,2.630038E-01,2.107988E-01,1.803972E-01
-9.41787,38.40000,1.413415E-01,2.251516E-01,2.811411E-01,2.967088E-01,2.775866E-01,2.552315E-01,2.296426E-01,2.074280E-01,1.907296E-01,1.556272E-01,1.355933E-01,1.063968E-01,8.627391E-02,2.748806E-01,4.506919E-01,5.561535E-01,5.721875E-01,5.339820E-01,4.899132E-01,4.364455E-01,3.978046E-01,3.650085E-01,2.975180E-01,2.626968E-01,2.105696E-01,1.797667E-01
-9.41787,38.50000,1.400654E-01,2.235637E-01,2.779990E-01,2.931072E-01,2.746786E-01,2.523956E-01,2.268201E-01,2.044946E-01,1.875825E-01,1.528243E-01,1.324294E-01,1.038697E-01,8.314056E-02,2.728217E-01,4.476437E-01,5.491322E-01,5.646017E-01,5.275785E-01,4.830518E-01,4.310882E-01,3.924781E-01,3.595232E-01,2.920263E-01,2.561854E-01,2.059250E-01,1.731068E-01
-9.41787,38.60000,1.387973E-01,2.214319E-01,2.749620E-01,2.899201E-01,2.719960E-01,2.501574E-01,2.249175E-01,2.029067E-01,1.860916E-01,1.515873E-01,1.311151E-01,1.027544E-01,8.198080E-02,2.707817E-01,4.435543E-01,5.423211E-01,5.580587E-01,5.221062E-01,4.780076E-01,4.277494E-01,3.900032E-01,3.574337E-01,2.895323E-01,2.537009E-01,2.040487E-01,1.711193E-01
-9.41787,38.70000,1.362520E-01,2.172460E-01,2.692838E-01,2.846473E-01,2.677366E-01,2.462777E-01,2.209949E-01,1.991676E-01,1.823945E-01,1.485654E-01,1.279286E-01,1.002708E-01,7.915790E-02,2.667282E-01,4.363186E-01,5.314653E-01,5.487730E-01,5.149192E-01,4.707977E-01,4.216747E-01,3.841147E-01,3.516293E-01,2.835920E-01,2.479749E-01,1.999257E-01,1.657514E-01
-9.41787,38.80000,1.347241E-01,2.147707E-01,2.659002E-01,2.813382E-01,2.649142E-01,2.435948E-01,2.182102E-01,1.964796E-01,1.796898E-01,1.462560E-01,1.255113E-01,9.833680E-02,7.704441E-02,2.653041E-01,4.338436E-01,5.273864E-01,5.452219E-01,5.121723E-01,4.676580E-01,4.187594E-01,3.809831E-01,3.483061E-01,2.798198E-01,2.442110E-01,1.965544E-01,1.617800E-01
-9.41787,38.90000,1.315900E-01,2.098815E-01,2.594074E-01,2.750361E-01,2.594914E-01,2.382324E-01,2.123439E-01,1.906201E-01,1.737521E-01,1.413330E-01,1.204261E-01,9.436955E-02,7.259484E-02,2.617686E-01,4.283869E-01,5.195275E-01,5.382986E-01,5.066693E-01,4.608533E-01,4.116326E-01,3.729012E-01,3.396304E-01,2.713347E-01,2.357947E-01,1.893086E-01,1.524735E-01
-9.41787,39.00000,1.267526E-01,2.017032E-01,2.495586E-01,2.651550E-01,2.507042E-01,2.302597E-01,2.047443E-01,1.838157E-01,1.673958E-01,1.361516E-01,1.156329E-01,9.034243E-02,6.926759E-02,2.547476E-01,4.161352E-01,5.049585E-01,5.237646E-01,4.927287E-01,4.475944E-01,3.997921E-01,3.618570E-01,3.289860E-01,2.617430E-01,2.273046E-01,1.818382E-01,1.454585E-01
-9.41787,39.10000,1.174717E-01,1.855504E-01,2.306979E-01,2.470284E-01,2.349928E-01,2.153389E-01,1.923596E-01,1.732066E-01,1.579136E-01,1.281282E-01,1.090752E-01,8.500286E-02,6.522268E-02,2.356574E-01,3.825355E-01,4.601830E-01,4.843499E-01,4.560969E-01,4.175922E-01,3.748332E-01,3.401918E-01,3.093428E-01,2.453808E-01,2.137257E-01,1.703302E-01,1.360500E-01
-9.41787,39.20000,1.111888E-01,1.752967E-01,2.175573E-01,2.352195E-01,2.233566E-01,2.052333E-01,1.840044E-01,1.661465E-01,1.517259E-01,1.229089E-01,1.048799E-01,8.158025E-02,6.293625E-02,2.235768E-01,3.634646E-01,4.363907E-01,4.602844E-01,4.344979E-01,3.993747E-01,3.594103E-01,3.252763E-01,2.974097E-01,2.356422E-01,2.057365E-01,1.633490E-01,1.311463E-01
-9.41787,39.30000,1.067958E-01,1.690560E-01,2.090132E-01,2.266050E-01,2.151138E-01,1.974372E-01,1.767049E-01,1.591469E-01,1.449211E-01,1.167692E-01,9.949625E-02,7.702525E-02,5.890706E-02,2.176618E-01,3.554972E-01,4.265264E-01,4.495613E-01,4.244924E-01,3.888097E-01,3.485032E-01,3.124306E-01,2.850368E-01,2.252848E-01,1.953491E-01,1.547625E-01,1.219819E-01
-9.41787,39.40000,1.027153E-01,1.629379E-01,2.010366E-01,2.181639E-01,2.072536E-01,1.901633E-01,1.700701E-01,1.524519E-01,1.391042E-01,1.116196E-01,9.510764E-02,7.336563E-02,5.596149E-02,2.115652E-01,3.465863E-01,4.161916E-01,4.384629E-01,4.139734E-01,3.782856E-01,3.378047E-01,3.009243E-01,2.736458E-01,2.164166E-01,1.862274E-01,1.476473E-01,1.153408E-01
-9.41787,39.50000,9.692249E-02,1.532546E-01,1.895452E-01,2.065428E-01,1.966302E-01,1.809013E-01,1.621122E-01,1.448043E-01,1.324097E-01,1.063917E-01,9.042288E-02,6.993655E-02,5.337649E-02,2.004895E-01,3.279810E-01,3.953229E-01,4.176867E-01,3.950506E-01,3.615563E-01,3.210593E-01,2.861646E-01,2.601088E-01,2.064204E-01,1.768714E-01,1.404603E-01,1.095603E-01
-9.41787,39.60000,9.096742E-02,1.428250E-01,1.778133E-01,1.950631E-01,1.862492E-01,1.718630E-01,1.539076E-01,1.373306E-01,1.256995E-01,1.013076E-01,8.578495E-02,6.659374E-02,5.078325E-02,1.879407E-01,3.060257E-01,3.707491E-01,3.948309E-01,3.748513E-01,3.438824E-01,3.034948E-01,2.707067E-01,2.459785E-01,1.954567E-01,1.671758E-01,1.325954E-01,1.036025E-01
-9.31787,38.20000,1.374093E-01,2.170311E-01,2.727088E-01,2.882938E-01,2.697943E-01,2.492891E-01,2.245940E-01,2.040126E-01,1.884302E-01,1.545335E-01,1.352863E-01,1.067068E-01,8.761814E-02,2.701078E-01,4.408261E-01,5.473898E-01,5.624433E-01,5.237629E-01,4.804643E-01,4.287038E-01,3.922145E-01,3.605727E-01,2.958969E-01,2.627048E-01,2.110136E-01,1.823373E-01
